crop,region,month,year,yield,price
Jowar,AP,6,2022,2.055394264610013,1628.3726068044439
Bajra,Punjab,9,2022,1.8699369013413516,1483.7067701868982
Cotton,Punjab,3,2021,2.396711726838875,1800.9473370867079
Sugarcane,UP,12,2022,2.0410474342902845,1699.178574862662
Barley,Bihar,7,2022,3.823418098414754,1915.696986949435
Jowar,TN,4,2024,2.5396101031668117,1963.8789181360726
Soybean,Gujarat,1,2017,4.014020662598341,1799.9371135703398
Bajra,Haryana,7,2016,1.974224606948617,1417.1211180736943
Soybean,Punjab,1,2018,2.2318762918483817,1630.6984576388875
Wheat,Punjab,11,2019,4.256073688439505,1849.7460408885383
Wheat,AP,4,2016,3.7192691596737295,1738.9590030599
Bajra,Gujarat,9,2022,1.8375646749713783,1460.055188707491
Bajra,Gujarat,5,2022,4.857959434371734,2265.303255341805
Barley,Gujarat,7,2018,4.168870881376097,1882.1159252961706
Bajra,Haryana,7,2019,3.4342589303531272,1803.8210119389869
Maize,TN,12,2019,2.700187647892072,1652.4466460073743
Soybean,TN,3,2019,1.8287941722619574,1586.1095994264895
Sugarcane,Haryana,11,2023,2.7537063678580216,1792.8375634984766
Groundnut,UP,8,2023,2.630580016546949,1832.9053744518221
Bajra,Haryana,1,2018,1.7743006033844617,1421.7629593361953
Cotton,Maharashtra,4,2015,4.243154358185819,2028.820397396228
Wheat,WB,10,2022,2.9536744974584783,1890.228334678902
Maize,Maharashtra,4,2015,4.613304447519255,1880.809572190504
Jowar,UP,2,2021,2.0528716458065617,1687.6287344984898
Groundnut,UP,6,2018,2.6115035350650415,1270.6449760054415
Sugarcane,Haryana,1,2015,2.476628020908655,1320.7760562889225
Groundnut,Haryana,3,2018,4.528065310717932,2010.8752956995786
Bajra,Bihar,9,2021,3.2770673913044397,1713.54326904058
Barley,AP,12,2022,1.9963765101321398,1701.5826248658511
Wheat,Maharashtra,10,2016,2.7510639097364042,1490.6368361938712
Wheat,TN,6,2023,4.801138856188031,2095.616155133296
Jowar,Bihar,2,2019,3.4302055714938455,1758.2153630225712
Barley,Gujarat,12,2022,1.6285674403981754,1440.015174382664
Soybean,MP,12,2016,1.7024574498874636,1149.3578786004316
Rice,TN,9,2016,2.324882518930457,1312.3872456837355
Maize,Gujarat,2,2018,3.6746353982936277,1966.3851169898605
Wheat,Bihar,12,2018,2.358412460707516,1650.699275766082
Cotton,Punjab,7,2017,4.475400932291743,1963.563272348899
Wheat,Bihar,1,2019,3.702976529154726,1703.1584142548334
Groundnut,Bihar,5,2016,2.5525570826651975,1462.9574399754179
Wheat,Bihar,7,2015,2.8787714230843493,1443.8513909481326
Wheat,Haryana,3,2018,2.813402027225882,1788.8040308159798
Rice,Maharashtra,4,2020,2.599643246014959,1502.3366672051611
Rice,Bihar,5,2020,3.704601999884349,1863.5784163254384
Sugarcane,Haryana,3,2016,2.2058598686074484,1637.1533973414312
Soybean,Gujarat,6,2020,2.522385272432329,1645.193849750942
Cotton,AP,3,2018,1.7983274932117879,1647.6031334345862
Wheat,Maharashtra,8,2024,2.8161281162329876,1894.1899359146414
Wheat,Gujarat,7,2015,1.725345744357426,1135.0689611552596
Maize,UP,1,2015,1.5626692057682934,1315.3444781629846
Rice,TN,2,2016,3.7609289744253993,1897.684192716982
Cotton,MP,4,2018,2.0685921655193082,1514.0058959333428
Jowar,UP,5,2022,1.6231919253672749,1554.4358552964907
Sugarcane,WB,11,2017,1.739166623283897,1193.1058776586272
Soybean,AP,10,2019,2.1972363086010276,1538.9527910709842
Barley,WB,11,2017,4.0230835982194275,1844.527026877157
Soybean,Punjab,4,2022,1.541518090038065,1557.9237722180671
Groundnut,Punjab,4,2018,4.0428199140880805,1820.4406884342666
Wheat,Bihar,9,2022,3.5897035272567432,1808.8230410265296
Sugarcane,AP,4,2022,3.298682377719385,1971.4455870045497
Groundnut,Gujarat,4,2023,4.682491908139418,2393.603947358015
Cotton,UP,4,2016,4.403557102752953,2075.921419158977
Barley,AP,2,2024,2.9656968053189905,1961.766551116738
Rice,UP,8,2021,1.5234509957388673,1583.285126561073
Sugarcane,MP,4,2024,3.987017563851537,2124.773326203542
Sugarcane,Gujarat,5,2015,1.6670415006033137,1347.2007343756904
Wheat,WB,8,2018,2.473188732618642,1583.2975141192505
Bajra,UP,4,2018,3.2256208542527247,1680.6286286400978
Sugarcane,MP,5,2018,1.8476943399769326,1358.6384176570764
Maize,AP,5,2021,3.8774505823161975,2044.8550119277618
Barley,MP,6,2019,2.6247916109694382,1734.315243103912
Barley,TN,7,2019,2.7658125033333865,1585.4779436072452
Maize,MP,3,2017,3.76913687048223,1941.3203390327137
Jowar,MP,10,2024,2.8938466506741563,1909.344876574632
Maize,Bihar,11,2019,2.285994067064685,1360.231769220132
Maize,Punjab,3,2019,2.1186534080868222,1624.0770992455207
Barley,WB,9,2022,4.034146762685538,2056.5133616525804
Soybean,TN,1,2016,4.127047203969656,1734.386075444197
Barley,TN,10,2022,2.184950775768307,1527.7634573193816
Bajra,Punjab,12,2018,2.6165228814188066,1687.754013342984
Wheat,Maharashtra,8,2023,4.848128428915562,2166.6134207508803
Groundnut,UP,10,2022,4.944802721370332,2196.303474142714
Soybean,MP,3,2019,3.5485775813939284,1734.4040345166595
Rice,AP,5,2019,4.1493094429048805,2033.8632516761152
Groundnut,MP,3,2023,4.118886305492071,2151.138146075693
Wheat,AP,10,2019,2.88446515714803,1432.6456449429681
Bajra,MP,1,2023,1.6695009529661466,1659.2711512263077
Bajra,TN,10,2020,4.092463581371355,1964.0400240818474
Rice,Maharashtra,5,2015,1.975206838476751,1436.8879940834904
Soybean,Punjab,8,2022,2.5167445144737206,1660.5806494196636
Jowar,Gujarat,5,2015,2.604402404473642,1421.5772157451815
Maize,Haryana,4,2016,2.7218223939605526,1430.358312099115
Soybean,WB,9,2020,3.1298865812754246,1733.3914099492574
Jowar,Gujarat,1,2019,3.2556374307265203,1791.1135798540333
Bajra,WB,5,2016,3.1923338088237414,1617.8983951682146
Barley,UP,1,2020,2.0699778635457924,1576.276540034285
Wheat,Punjab,6,2021,3.770810307872007,2040.3495377610013
Rice,AP,10,2017,4.265789380269499,1835.173669557549
Wheat,Gujarat,9,2022,3.1160926615324938,1870.4983587007066
Cotton,Gujarat,11,2018,4.434119030517175,1958.0115733770604
Cotton,WB,2,2024,3.054898961971875,2008.8696485646392
Soybean,Gujarat,4,2023,3.4891163074064844,2032.6188876363058
Bajra,AP,8,2021,1.743424169274597,1447.3382628430916
Bajra,Punjab,3,2017,2.0139599533636625,1494.233923460952
Maize,UP,7,2019,4.1856663264764755,1963.5479491329756
Maize,Haryana,12,2023,2.372124570358988,1768.407758301106
Maize,Punjab,7,2023,1.828217821300159,1603.1692664147195
Barley,Bihar,2,2022,3.488865941387589,2071.4138790701686
Groundnut,UP,12,2022,1.8303718738246602,1661.5656926184215
Sugarcane,Gujarat,10,2023,3.8942590047435113,1917.033428107203
Groundnut,AP,4,2019,3.9121109287273175,1928.536019634636
Wheat,Maharashtra,1,2023,3.085702806229064,1872.791405417193
Groundnut,Gujarat,8,2020,3.900184539361034,1780.002553913367
Barley,TN,10,2020,4.297808183208616,2038.0069477191862
Wheat,TN,10,2024,2.191863589883166,1774.3917214909736
Groundnut,Maharashtra,9,2020,3.7733662126597984,1866.819305347363
Barley,Haryana,1,2021,3.9232154951088782,2109.4688689292075
Sugarcane,TN,11,2023,2.1805796615970516,1439.499777676637
Groundnut,Haryana,7,2017,4.044068162107932,1736.6611960446778
Barley,UP,1,2020,4.018412652669417,2021.1397193985547
Maize,Maharashtra,12,2024,2.050384204339067,1671.3239762334567
Bajra,Haryana,1,2019,2.6109967158441543,1513.6174212601572
Maize,Bihar,9,2018,4.794033354918589,1879.671480160263
Bajra,Haryana,10,2022,1.7490022592988868,1576.2952390819678
Rice,MP,10,2017,2.301313643776319,1464.105763649462
Rice,UP,6,2016,3.5258024344966303,1519.028438103931
Rice,Bihar,1,2018,4.890452804882619,2109.0731538720984
Sugarcane,Maharashtra,7,2017,2.4000069885842787,1292.74905879234
Maize,WB,3,2021,4.35873341229018,2204.2260125772827
Bajra,Gujarat,10,2018,2.785739763401786,1444.1653264837
Barley,AP,4,2024,2.733700976561681,2037.5006554931979
Wheat,TN,4,2023,4.986199310357984,2412.3416780674825
Barley,MP,8,2019,4.360259684484683,2052.936439804271
Wheat,MP,1,2017,2.3698506065212634,1521.0166237766873
Cotton,WB,8,2016,2.1497824682461086,1335.8903904871045
Barley,Gujarat,9,2020,1.794283285985903,1471.4915360924479
Groundnut,Gujarat,11,2020,3.189455362918135,1689.8926657217014
Groundnut,TN,7,2015,2.6707816648176395,1493.7815932182957
Soybean,Haryana,1,2021,2.8328755175119595,2055.9088566687365
Maize,Maharashtra,7,2019,3.009932670971538,1626.5927288158837
Wheat,Gujarat,6,2021,4.968652358015213,2109.6925008648423
Wheat,Gujarat,5,2018,1.510053971819712,1166.718858393176
Maize,AP,5,2019,2.991225717660514,1969.9795321280585
Sugarcane,Bihar,1,2021,1.727405420595207,1701.3768067098224
Soybean,Bihar,6,2020,3.8555556868156224,1940.496756469026
Sugarcane,AP,4,2015,1.676500796292642,1407.302024831156
Sugarcane,Punjab,1,2015,4.183909332250113,1671.073907931862
Sugarcane,Maharashtra,12,2016,4.537247727045434,1987.272875586301
Maize,Gujarat,8,2017,4.897805520344065,1913.6543761558376
Sugarcane,TN,8,2015,1.9230473591085309,1168.446727124423
Groundnut,Maharashtra,12,2024,4.926120171835478,2345.7674441212057
Rice,WB,11,2016,2.9431751749641686,1401.8842791267996
Cotton,MP,4,2016,3.7140258661624643,1700.7625771621986
Wheat,Gujarat,7,2021,1.5001663863231025,1324.5686043048383
Wheat,Punjab,3,2020,2.7959058681217384,1828.076088103036
Cotton,TN,8,2023,2.735138138989911,1774.4950259085074
Maize,Maharashtra,7,2024,3.26332043649729,1767.9110250455528
Barley,UP,5,2019,1.9640734023037094,1388.9349198969803
Maize,MP,5,2017,3.9156505241817325,1928.9139558678019
Wheat,Gujarat,9,2015,3.58495887561425,1584.1499430201477
Wheat,Maharashtra,6,2015,2.2437073961785305,1308.4668624010428
Cotton,Maharashtra,6,2016,4.942726399043565,2026.5809799945507
Sugarcane,TN,2,2017,1.5195755579338552,1221.3516631201971
Maize,MP,11,2024,2.6757132447812797,1928.6666105670722
Bajra,Bihar,5,2024,2.4160369886701205,1628.6496248251185
Cotton,Bihar,12,2019,3.4601375252647304,1778.8237124309808
Groundnut,UP,4,2021,4.609398747476973,2306.428914053794
Wheat,Haryana,10,2018,3.802213034931631,1760.8932489974968
Cotton,AP,3,2024,1.6665801386712844,1901.3119876220712
Maize,Gujarat,9,2020,4.521893912881375,1933.890854723209
Wheat,TN,11,2020,2.427780192064176,1579.6711885366608
Barley,Gujarat,12,2016,1.8861350596289295,1450.9948743602338
Cotton,TN,7,2020,3.013938900304403,1808.2281288631773
Soybean,Bihar,4,2019,4.645489864656736,2074.841486525214
Wheat,TN,9,2020,1.6210431779268675,1413.4776403328474
Maize,MP,9,2018,3.6898145075684172,1618.2395952491167
Rice,Haryana,12,2015,2.663738645028276,1556.6058018054161
Bajra,UP,7,2023,3.6790049439747987,1982.0152804405968
Jowar,Punjab,5,2017,2.432210959181327,1574.0905821354781
Sugarcane,Bihar,9,2015,4.884836489681012,1754.0945180629712
Jowar,Punjab,7,2018,1.8984059988019788,1054.7747005364217
Maize,Punjab,9,2021,2.0529789278482298,1416.214851943961
Groundnut,WB,11,2018,1.6598369052317739,1181.2594753275635
Groundnut,Haryana,3,2018,4.28249243815373,2036.0673665379247
Rice,AP,11,2023,1.8288488296873557,1370.2948884205532
Sugarcane,Maharashtra,9,2020,2.4681823061175874,1572.2083886021974
Soybean,MP,1,2023,2.219604642919227,1688.8485218595827
Rice,TN,5,2016,2.7373680334877553,1583.6160489585561
Jowar,Gujarat,2,2021,4.180235782415938,2125.573968104526
Rice,AP,1,2021,4.825672097804253,2204.5095115327404
Jowar,Gujarat,3,2022,4.576045054721745,2371.2988537113824
Wheat,UP,7,2024,4.44408009881402,2291.1197426307685
Groundnut,UP,3,2023,2.961147385561002,2122.4510131338816
Wheat,MP,10,2022,4.306365455602319,1951.804916695503
Bajra,TN,10,2016,4.220028282802099,1591.7376031691851
Sugarcane,TN,11,2017,2.3663574276333397,1526.933268955113
Soybean,Bihar,9,2016,2.4183841320397383,1262.723287421615
Jowar,TN,3,2015,3.246478326950296,1505.8149395081434
Soybean,Maharashtra,11,2021,4.8721717006328165,2002.5693027159036
Jowar,AP,6,2022,1.8776560513332419,1641.9685736116048
Maize,AP,2,2019,4.959399269065637,2155.791752722547
Rice,Gujarat,8,2024,2.056253429208175,1782.9071023509734
Bajra,WB,10,2023,3.1996365513373015,1717.9054756337123
Groundnut,MP,5,2018,2.5639014457237392,1463.007013593635
Jowar,MP,2,2015,2.9691380499007325,1553.5241625057251
Soybean,Maharashtra,7,2018,4.8524173550761045,1774.241207211039
Bajra,TN,3,2019,3.7113078283811403,1892.6480918652849
Barley,WB,5,2022,2.5412916368381824,1894.592982669362
Barley,Bihar,11,2019,3.6994945989957433,2001.4955617424728
Wheat,Bihar,9,2024,3.08253958164776,1825.2745583849535
Groundnut,AP,1,2023,4.8017597968368415,2261.241666426016
Maize,Maharashtra,2,2020,2.7349574013875264,1794.3590827732571
Soybean,Punjab,5,2022,3.545661173466425,2075.0774113846137
Rice,Punjab,4,2017,4.472976087829402,2088.2797416841136
Rice,TN,1,2017,4.855948886260699,1956.5602180504134
Soybean,AP,7,2023,4.297088159537424,2214.745323054884
Sugarcane,Maharashtra,9,2020,4.774371178617949,1953.4051922506976
Maize,Punjab,1,2018,3.1232137154516177,1884.6089459122563
Bajra,Haryana,8,2022,4.17575207051057,2092.5628183886515
Jowar,Gujarat,9,2018,1.8312737069417349,1234.7279484267308
Sugarcane,UP,2,2018,3.5783469669310684,1863.8953317131975
Jowar,Gujarat,1,2021,1.5472603388976804,1515.802700990077
Jowar,UP,6,2021,2.4101628368967,1740.5543555925447
Sugarcane,Haryana,7,2022,3.8294589403082036,1936.321772728354
Wheat,Haryana,2,2024,2.1004674441019633,1783.5934780971404
Barley,Maharashtra,5,2021,2.2004983710250814,1743.3171246481083
Jowar,WB,5,2022,1.7160144709197045,1677.5644227960536
Sugarcane,MP,7,2022,4.115857965046185,1894.2721498955204
Sugarcane,Punjab,12,2021,3.067807588610493,1950.2685117399396
Cotton,Maharashtra,11,2015,4.607823867783711,1861.9880303342998
Wheat,WB,1,2018,2.7679072307199983,1730.9967867801838
Groundnut,MP,10,2017,3.023399482756491,1498.5741084966726
Cotton,Maharashtra,8,2023,3.2322233362885244,1749.518808669699
Cotton,TN,5,2024,4.513185417912546,2419.726823636219
Soybean,MP,12,2022,2.5226524135077666,1685.9370247731692
Barley,Gujarat,3,2023,1.680528487446941,1650.9661924254895
Sugarcane,MP,9,2019,3.6951698700161724,1757.6479731504487
Barley,Gujarat,11,2019,4.389953128789625,1747.6996846287884
Maize,Bihar,3,2024,3.446900862056519,2168.450067082289
Soybean,UP,7,2019,2.6216733621357875,1497.7449903272682
Groundnut,Gujarat,10,2016,3.7066427865063174,1587.7643658272407
Barley,Haryana,12,2021,4.968511299417035,2273.6761370197187
Rice,TN,7,2022,3.5091461879682577,2028.0214549412171
Jowar,Punjab,10,2019,2.6032574598973865,1644.418536769333
Maize,Bihar,12,2022,2.3526544143893497,1861.9191130061329
Wheat,Bihar,8,2020,4.993793425109574,2057.8048687100536
Groundnut,AP,10,2018,4.4764766977573345,1620.3263670385275
Maize,Maharashtra,8,2021,2.4781993574872887,1589.0910001536681
Jowar,Maharashtra,4,2022,2.418561321096657,1885.9870422745496
Soybean,Maharashtra,1,2023,4.312845677892733,2152.507771763261
Jowar,MP,4,2019,4.972998719213846,2142.2025313032955
Cotton,Punjab,6,2023,3.12961123480477,1803.3620655976633
Jowar,UP,10,2022,2.295429503291592,1692.7095030637306
Cotton,Gujarat,11,2015,2.3062025788214777,1243.8557809677263
Soybean,Maharashtra,6,2022,4.290730855502915,2080.1901772451683
Bajra,Bihar,6,2022,3.6175592597276216,2031.1536080631768
Cotton,Gujarat,12,2021,3.718129394034894,1935.4559702666945
Wheat,Punjab,7,2015,2.1801392664846735,1443.878310474619
Jowar,Bihar,12,2020,1.9566571941839004,1502.964505697041
Jowar,Haryana,11,2016,1.5372429435903836,1026.4322761287847
Wheat,Punjab,1,2020,4.703207906953256,2210.1566255360462
Rice,MP,10,2016,2.7424641257754554,1414.788910905526
Sugarcane,Maharashtra,1,2016,4.152916111121748,1900.8895823469861
Bajra,WB,7,2021,4.595603125808301,2025.6224882164292
Groundnut,TN,12,2024,3.5949786269493256,2100.3400345796576
Cotton,Bihar,4,2015,2.984899752984262,1557.5892563264504
Wheat,AP,6,2019,1.6353377759224093,1275.7519594499129
Soybean,AP,6,2015,2.6799486364824996,1501.5906654944142
Cotton,TN,9,2023,2.625696185679396,1781.1204515311467
Sugarcane,UP,2,2019,3.482212868419081,1985.2877898959018
Soybean,UP,4,2019,4.174234901174469,1774.2004902369906
Maize,TN,4,2018,3.9888536909599606,1933.34220950037
Jowar,WB,7,2017,4.5447193487394415,1813.3269800135124
Maize,MP,1,2022,1.663961687639202,1725.5334799288428
Cotton,Punjab,5,2021,3.617511966535869,1986.6014949223772
Sugarcane,WB,11,2023,2.1615254620764768,1644.6792492720522
Bajra,Gujarat,4,2020,4.903885216646403,2377.5342009354044
Cotton,Maharashtra,2,2015,2.931890866807033,1767.5705104832832
Wheat,UP,5,2019,3.6834938002885718,2040.6778210194575
Barley,Bihar,9,2019,2.730538576251373,1582.4909451047342
Cotton,UP,8,2021,2.2706170706620012,1523.7547365782393
Jowar,AP,9,2024,3.907564888417304,2235.957918590334
Jowar,Bihar,7,2015,4.787407224179566,1944.650694325447
Cotton,Gujarat,10,2015,1.7081796433141245,1243.3577374342947
Soybean,Gujarat,7,2020,4.388341590685446,1941.5335477283672
Barley,Maharashtra,2,2020,2.695574759239468,1663.2054609055708
Wheat,Haryana,12,2023,1.9232320496171387,1563.5475948303747
Cotton,AP,3,2017,3.9964593998411613,1901.422886254166
Soybean,TN,11,2019,1.7886432265708965,1463.018329130826
Jowar,UP,10,2019,4.047078040164317,1626.4516729586894
Jowar,Maharashtra,8,2015,3.025291191012996,1519.0337917326383
Sugarcane,Maharashtra,11,2020,2.0765829280451396,1363.8467355407445
Cotton,Haryana,2,2018,2.0501727832597463,1522.983052638578
Barley,Gujarat,7,2020,4.118708315425736,2048.889337915516
Rice,AP,12,2022,4.39896447291508,2352.6798236785
Barley,Bihar,6,2022,3.8996882117764216,2042.945754156201
Jowar,AP,12,2017,4.022958225187856,1790.0829348936895
Jowar,AP,10,2023,4.468508352567294,2097.243205621045
Maize,UP,4,2018,2.999937144118411,1725.0875683933705
Jowar,Bihar,11,2015,2.086890775090185,1348.507291874642
Wheat,WB,4,2023,2.8204452062685075,1891.3539076044674
Groundnut,Bihar,3,2019,4.927500864926927,2123.598907700391
Cotton,Maharashtra,6,2022,3.0697112650396754,1798.5744613997524
Barley,Haryana,3,2021,4.733615324794525,2349.462306812003
Groundnut,AP,9,2019,3.959569674984315,1839.2815824838922
Soybean,Bihar,4,2022,4.082105927845593,2188.1421582836856
