N,P,K,ph,organic_matter,region,soil_status
52,54,182,6.151650012675713,2.8272638602828812,Haryana,Good
23,21,158,4.19152622680204,3.382653526794993,TN,Moderate
123,15,112,7.216486299900186,0.6122343435666592,MP,Poor
40,57,64,4.973434986205718,3.0659544657351407,Haryana,Moderate
14,54,48,6.761608666583419,1.007192052490292,WB,Poor
44,140,188,5.9234162931227665,3.252011282643684,AP,Moderate
64,128,47,6.790135195510155,3.340378238295356,UP,Good
88,66,155,8.662181597316998,2.207538813851598,TN,Moderate
70,80,154,6.42900295221486,1.9370363644643382,MP,Moderate
8,127,179,4.172644118860616,2.775499685927312,WB,Moderate
87,94,59,6.9045899313972185,3.2540645355831903,TN,Good
128,33,15,5.6287276508765895,1.1973382161869688,WB,Poor
135,106,59,7.890674421979026,1.6473243254105765,Bihar,Moderate
62,105,158,6.349642351473378,1.7526079847146414,Gujarat,Moderate
138,114,133,7.706853689158211,3.0374637416441597,Punjab,Moderate
80,113,194,8.544104976741568,0.9107510630128764,Haryana,Poor
135,33,153,5.811369956362254,2.369132546768583,WB,Moderate
32,63,12,8.946889561954018,1.5528239106134976,Bihar,Moderate
122,74,152,4.749064329698926,3.1565423760629807,TN,Moderate
4,100,177,7.219658409465943,1.519372635357114,UP,Moderate
40,48,85,4.173838015656224,3.433838854480304,TN,Moderate
27,88,83,5.06528332925568,0.5468963270416903,Gujarat,Poor
134,125,69,7.168892957282876,1.2186608680900404,Maharashtra,Poor
71,61,64,4.230958697805484,1.8719627397301917,Gujarat,Moderate
11,121,199,4.508935426441793,1.2689737489525907,Gujarat,Poor
32,68,99,5.45505297457607,2.7121805334211917,UP,Moderate
47,103,60,6.878185679911255,2.943654407207263,Punjab,Good
61,42,132,4.079912776955745,2.59252398362674,Gujarat,Moderate
36,31,126,6.411771287889061,3.4111954499268213,TN,Good
98,21,35,7.128718743725524,1.8681140046080784,UP,Moderate
103,67,89,6.0126139441616475,3.4393093861305752,Haryana,Good
34,15,91,4.3381990373945385,0.8738318913496972,Punjab,Poor
100,68,130,7.054373175982105,3.0378339627590583,MP,Good
130,43,85,7.029176984572337,0.6153238665733689,WB,Poor
0,134,26,6.530211775172515,2.0957496992850837,UP,Moderate
4,119,194,7.4657273779777,1.953414838631184,Gujarat,Moderate
102,49,60,5.0390086657664215,3.068898850196821,Maharashtra,Moderate
26,92,90,7.392703711752789,2.602197320686942,UP,Good
136,84,127,4.807273698251263,1.8231695607399705,TN,Moderate
14,13,204,5.963468155173935,3.1870146620441004,WB,Moderate
89,109,115,4.337833231392991,3.157608191475563,Maharashtra,Moderate
41,129,12,8.095636660401034,0.5741954999842858,MP,Poor
123,82,66,6.691167105074705,3.1130557376700865,MP,Good
62,49,82,8.85524601181844,2.07975606995205,MP,Moderate
95,112,156,8.711633005385405,3.016882497993431,Bihar,Moderate
51,103,26,8.992805681159258,1.0439707881385203,Punjab,Poor
95,31,19,4.506330851411199,0.9532865581377558,WB,Poor
131,44,160,7.03290189268331,2.666609437108855,TN,Good
28,30,154,6.037876058170802,1.3260730855702827,Maharashtra,Poor
35,87,35,6.66332293701812,2.176521654515795,Haryana,Moderate
12,30,194,5.543836830016591,2.566446616383303,WB,Moderate
70,74,91,4.2403441902921495,2.331222526918856,UP,Moderate
85,71,73,7.538751348034974,2.5968964202322935,Maharashtra,Moderate
27,10,113,8.829085369165853,2.3610718483251514,TN,Moderate
65,32,171,6.661909130422025,1.6373840934942812,Gujarat,Moderate
44,17,85,5.647899752309476,0.7714832470181366,AP,Poor
61,67,44,8.691391243659865,3.0660354438698074,Maharashtra,Moderate
133,17,73,5.82333264737428,3.0380246596643414,Gujarat,Moderate
27,133,187,8.572645963701914,0.5170371876054125,Bihar,Poor
27,44,75,8.278454274125354,3.0225964928600546,MP,Moderate
107,35,68,6.643555028743707,0.952966418224057,AP,Poor
43,21,12,7.384363333342286,1.4985878091918101,Maharashtra,Poor
83,141,75,7.501587218078052,1.7400459251094507,AP,Moderate
29,113,90,7.2054585251362875,2.5388925466346146,TN,Good
74,68,48,4.803749774859793,0.7772464558191553,MP,Poor
127,61,42,7.463881058534103,2.979936767640384,Gujarat,Good
91,29,121,4.0160904205584185,3.3282433588610134,Haryana,Moderate
128,126,153,7.550184091896315,3.3580876058940197,WB,Moderate
120,82,8,6.774180673126004,0.7755140045568535,AP,Poor
26,61,164,5.298802110714192,3.2581407607107424,MP,Moderate
120,75,59,8.018821723719242,2.203486691124523,Haryana,Moderate
115,92,97,6.0263946943826046,2.6807856877500607,TN,Good
2,117,192,6.428885923080662,3.2917901194977364,UP,Good
102,104,63,4.138372774335673,2.4829863697742858,UP,Moderate
136,51,98,6.00659842883263,1.870218337037897,TN,Moderate
61,120,71,4.836813962415799,2.075335500108862,AP,Moderate
50,135,9,5.3807165591737185,2.553510437117441,MP,Moderate
58,94,87,5.260697493433697,3.3340967037675977,Gujarat,Moderate
117,115,76,4.230103968670469,3.1694260941872274,MP,Moderate
95,94,131,6.30247272623809,2.231201765947975,Punjab,Moderate
112,133,41,6.6129620656494446,1.1330308072337991,Punjab,Poor
61,143,31,6.855313143406583,1.5401873740538774,TN,Moderate
51,139,17,6.311098852461774,1.5854224947797833,Punjab,Moderate
11,16,138,8.347634470085367,1.3675221019559765,Haryana,Poor
38,110,69,4.188398725543213,2.7402367523049804,WB,Moderate
129,126,162,7.069043028966302,3.0079628048840026,Haryana,Good
130,57,184,8.330658398201415,1.4594926825294805,MP,Poor
112,104,45,4.205201204561803,3.0383779596447353,Gujarat,Moderate
100,41,19,6.481534997121197,2.7033122236389784,Haryana,Good
112,123,137,6.945135964409491,1.8233494389036131,UP,Moderate
80,63,19,4.95452874788339,2.595989089732664,Maharashtra,Moderate
112,58,5,5.262500544159497,2.8080149338528386,WB,Moderate
1,5,19,7.9279666877167605,2.1830933128095604,Haryana,Moderate
129,32,192,6.836988908547601,1.829340167829418,TN,Moderate
53,116,52,5.5788934862103154,0.8051433407658436,Haryana,Poor
86,20,186,7.823776111386351,0.5041090133584442,MP,Poor
128,32,187,7.733577871021229,3.3117539317479245,Bihar,Moderate
125,116,76,5.727008926541945,1.3024543373344974,AP,Poor
129,133,121,6.44323815224637,2.4889520617504526,MP,Moderate
52,120,31,7.322594667687985,3.330083475503908,Punjab,Good
67,102,162,5.716246089410079,2.954873835137245,WB,Moderate
122,74,64,7.145047055005885,0.8677484127481232,TN,Poor
37,96,70,5.255368653658865,2.9057373513360236,Bihar,Moderate
23,7,178,5.460104137441295,2.6791792969280355,Haryana,Moderate
68,85,56,5.553363216872219,1.4881913080616953,TN,Poor
115,48,85,8.680273852077569,2.568805395052016,UP,Moderate
97,28,39,8.168360710538249,2.977661676949535,Haryana,Moderate
138,103,125,6.82582987794584,1.3742657266091736,MP,Poor
96,116,46,6.819361047057695,3.1070878240423943,MP,Good
123,127,188,4.280732610275712,0.7364431521922268,Gujarat,Poor
69,116,49,7.247540316352557,2.0823633626937665,Bihar,Moderate
92,134,56,5.640599286641242,1.199658969381648,Punjab,Poor
2,72,155,7.061496810650398,2.68403148360523,Gujarat,Good
89,95,161,8.201168738856182,1.0245979742849085,Punjab,Poor
95,64,33,4.2274915292999244,1.5243613675162373,Gujarat,Moderate
51,136,61,7.035317517054654,0.8821572703841439,WB,Poor
127,128,23,6.821003072833815,2.93574421686653,Bihar,Good
38,100,12,5.033832776147168,0.8968243519737344,Gujarat,Poor
81,133,182,7.232164744823395,2.6694548179632003,Maharashtra,Good
103,37,139,6.774176169726455,2.6216906538717017,WB,Good
128,34,143,7.83660062011159,0.9271051614847952,Punjab,Poor
10,9,199,4.553092840746747,2.198153229055184,Bihar,Moderate
41,122,70,6.218036768520103,1.9906379549375095,AP,Moderate
98,144,87,8.989664668840863,2.2835137069474265,UP,Moderate
6,42,160,7.446404241022352,3.311682897540615,Haryana,Good
89,21,188,7.421491113182443,0.7416110673060556,Haryana,Poor
111,113,32,5.589355501761715,2.96151119111704,MP,Moderate
59,44,93,4.4694405211059145,3.08632238584225,WB,Moderate
112,144,79,8.747471876180104,0.878822270987679,Haryana,Poor
1,115,44,4.527357014842969,2.468318415077518,Maharashtra,Moderate
128,132,134,8.963531553021657,2.606369443667426,WB,Moderate
47,99,80,4.628904862109678,2.145998847554602,TN,Moderate
139,33,193,4.854536742629639,2.008789874876994,WB,Moderate
36,77,80,5.541834775250161,1.4534552783757375,Punjab,Poor
8,25,118,6.5618759674476905,2.5672447587887044,AP,Good
98,64,157,7.952008260553829,1.3566399741668844,UP,Poor
47,102,99,8.855041509674194,1.8800695611113118,WB,Moderate
130,79,58,5.794124404787162,3.072107501951095,Maharashtra,Moderate
53,123,149,4.102065466125796,0.7686200393187721,UP,Poor
119,117,180,7.083397614979017,2.085110770906761,Haryana,Moderate
115,118,144,7.553949306243848,1.9582221815629999,MP,Moderate
74,107,193,5.987221077678333,1.6354441942608569,Punjab,Moderate
112,84,6,4.917380244882117,2.2925890785148724,Gujarat,Moderate
103,67,84,5.530077973690187,0.5468795051193696,Gujarat,Poor
83,61,69,7.278998546599565,1.9774087248505876,WB,Moderate
111,33,56,6.470914348839841,1.9570716212952783,UP,Moderate
98,133,38,7.71712014326127,2.048336874926923,Haryana,Moderate
92,128,49,5.090851222616571,1.137320768951406,Bihar,Poor
127,63,133,8.20992809151858,1.122789501712826,WB,Poor
109,90,104,4.779424590983622,2.4416076747871736,Punjab,Moderate
81,75,56,5.649577144562221,0.7781825176699217,Punjab,Poor
53,93,71,6.956038149276106,1.4177645677332675,Gujarat,Poor
67,102,102,7.6843159582623475,2.9924477796067626,AP,Moderate
32,48,80,5.330907356020113,0.8112913124396449,Bihar,Poor
20,120,60,8.740598677409206,1.9041979680580314,AP,Moderate
47,79,190,7.530556415984625,2.505892243383591,UP,Moderate
127,27,113,5.088375158794561,0.9249330831430576,Haryana,Poor
135,49,54,7.6288276781428515,1.437388592139484,WB,Poor
134,96,105,7.4816684735894565,2.1762685423946815,Maharashtra,Moderate
127,17,123,7.763420359057795,1.4816835646902293,MP,Poor
32,38,157,8.57940362363218,0.8298133337533338,WB,Poor
114,74,144,7.558585926895996,1.197219086274197,TN,Poor
118,112,119,5.759551464420536,0.8282460350449895,TN,Poor
21,137,77,7.952587388733523,3.450667139137406,UP,Moderate
37,130,197,7.479308789011464,1.2069458114392004,Punjab,Poor
108,25,60,6.87129592929289,2.091661911891141,MP,Moderate
50,135,54,5.769164466651129,1.78556572990518,Gujarat,Moderate
7,27,160,8.605245882041398,2.208540789247986,Punjab,Moderate
26,23,7,6.563773713762224,1.9942733359604055,WB,Moderate
26,54,170,7.140516885186175,2.6814855220053566,Haryana,Good
20,24,68,6.0768154401363725,3.119041691144562,AP,Good
29,120,58,7.904076544073931,1.355898161869007,Bihar,Poor
96,96,40,5.705197531935529,1.0508202965729476,Gujarat,Poor
27,97,176,8.053171957544755,3.4530195430427035,Punjab,Moderate
110,87,48,4.539707143357903,3.098217379805892,Haryana,Moderate
60,57,201,7.544809470622943,1.5917548588888475,MP,Moderate
47,127,123,6.384410746155368,3.1843604197189377,UP,Good
3,89,97,7.493767814609541,2.511638934059042,Bihar,Good
34,86,185,6.65697821523334,1.8122619200322143,MP,Moderate
48,13,145,4.67153163851801,3.1202658558381544,Haryana,Moderate
16,8,176,6.384957712752127,2.525848155899593,TN,Good
45,29,136,8.822794853323444,2.9793536685718593,WB,Moderate
116,38,74,7.774203006183942,1.7532792291569108,Bihar,Moderate
5,77,183,5.500946410107236,2.8961463583514666,MP,Moderate
98,141,106,8.720570739534228,1.6007808175821774,Gujarat,Moderate
123,86,202,7.894731385945538,2.7052372595021508,Bihar,Moderate
36,141,15,5.8222356053907935,1.806591625538744,Haryana,Moderate
23,8,186,7.017869828880926,1.7155838144532352,AP,Moderate
92,11,114,6.133428020181948,2.889898846614582,Haryana,Good
45,19,194,4.483451969459818,0.8751103446317832,AP,Poor
94,42,191,8.03014703180912,3.284627064471779,Bihar,Moderate
98,95,65,4.955390625637608,2.026042196918545,MP,Moderate
115,56,172,6.290191480795225,2.4082231962230733,WB,Moderate
66,85,136,7.51319060444289,1.7157844785798628,Punjab,Moderate
127,104,159,8.661068444134333,2.4376239484377997,WB,Moderate
17,11,20,4.313630452235313,2.6295543494296068,Gujarat,Moderate
24,111,11,5.966167783920188,3.105432006491016,Bihar,Moderate
53,49,15,7.073238624431776,3.063136143762224,Maharashtra,Good
57,63,204,7.896546527259726,1.5734441001211892,Bihar,Moderate
66,126,68,8.604655880502506,2.347558612919313,WB,Moderate
103,25,184,4.002486575265616,2.841731895178932,Punjab,Moderate
23,7,132,7.138816913493887,2.7945904703056472,Haryana,Good
113,6,10,4.034684625973316,3.172794346686689,Maharashtra,Moderate
31,33,124,7.936276437703984,2.9958306185915413,WB,Moderate
85,41,52,4.7483329850718565,2.653567778663531,AP,Moderate
126,49,73,8.47310319672263,2.746565704743582,MP,Moderate
129,124,125,4.775621178730193,2.922331269264527,UP,Moderate
16,50,10,7.821644909562901,3.0136655319570957,TN,Moderate
103,144,193,5.446519639069758,1.558007086210393,Haryana,Moderate
136,57,198,6.78626940915127,2.845432201508591,Gujarat,Good
42,49,89,7.042171175523161,3.347626958922195,Punjab,Good
38,36,114,5.033803243235684,1.1988901648134016,Maharashtra,Poor
25,22,185,5.493484417630274,0.6447048751956069,UP,Poor
98,17,32,4.5375389121859575,0.7171888743782299,WB,Poor
49,136,113,4.02644502688541,1.1501545411213274,AP,Poor
12,27,137,5.197340192580316,3.259371099831188,Haryana,Moderate
59,66,85,6.5800117791951855,0.8803882516504842,WB,Poor
134,58,105,7.567986297124907,2.7428091330674556,Gujarat,Moderate
56,73,62,7.967798125459659,3.101131493356714,Bihar,Moderate
35,18,28,4.348829803683211,3.1325630656512695,Bihar,Moderate
19,102,163,5.362064432744457,1.7502457547336743,Bihar,Moderate
64,32,173,7.851119893708322,1.9857852049469247,Bihar,Moderate
7,99,72,6.404344374589545,1.4697465669932566,Gujarat,Poor
114,75,111,4.910934936632758,0.9420331696304319,Bihar,Poor
91,71,178,5.961070039482456,1.1365138246202462,WB,Poor
97,104,14,5.35017095449978,0.904355426216008,AP,Poor
65,65,169,4.253267526271104,1.7225668045018274,MP,Moderate
31,107,153,7.818135727990342,1.0110367501965944,WB,Poor
85,141,25,5.458468304600793,1.7102022879417307,TN,Moderate
50,123,128,8.725656639665297,3.0535673862199992,Haryana,Moderate
62,21,117,8.440625202230093,2.4635468845311532,TN,Moderate
124,53,101,7.58138740116854,2.4882553402869347,Maharashtra,Moderate
57,82,142,5.633171936131545,2.935598231862587,TN,Moderate
57,50,86,5.399617763405251,0.6235805219209137,WB,Poor
85,97,101,6.376357400792006,2.8835326843311604,Bihar,Good
48,125,97,5.773012501638204,1.0890465264238287,Bihar,Poor
69,17,99,8.5057916201273,1.5377807138083772,Punjab,Moderate
14,49,28,4.6174756964061725,1.4241284706620556,UP,Poor
53,21,128,7.6223378780752125,0.8169666437157077,Maharashtra,Poor
100,51,144,7.054483971629288,1.021129762903167,Haryana,Poor
7,66,152,8.031505956681839,3.3690415906795144,Maharashtra,Moderate
52,47,202,6.712436633751033,2.300816770396425,Bihar,Moderate
59,72,140,7.147703388077384,1.9219152838834206,Punjab,Moderate
107,128,82,8.813703159832379,2.7733843475738507,UP,Moderate
4,113,137,4.459807763495808,2.941218127133832,Punjab,Moderate
102,32,58,4.524328294085317,0.8307885617166401,WB,Poor
5,98,40,5.968038423639488,2.7227162463923142,WB,Moderate
108,122,116,6.363663967004964,3.2971896154646267,Punjab,Good
115,95,170,4.999360210313313,2.2563082453075713,AP,Moderate
93,88,135,4.413338984914344,2.3424708544639907,WB,Moderate
46,37,168,4.110881282820799,3.111221870306924,UP,Moderate
98,29,26,7.822961252229193,2.538447678175591,Haryana,Moderate
54,23,12,6.425286968319126,3.48580253498805,TN,Good
51,110,193,8.217017149165844,1.348080908069309,WB,Poor
12,37,130,5.8041861751928545,3.0364417338030196,Maharashtra,Moderate
113,71,82,7.517230650139875,2.3372276626315514,Bihar,Moderate
123,46,11,6.442602611815802,1.5972066217579122,Bihar,Moderate
105,99,72,7.060349993065952,3.1491790117726937,UP,Good
119,51,66,5.850984205605577,3.4887387683299957,Bihar,Moderate
62,39,151,4.405848852236704,0.6735481064764063,AP,Poor
18,121,111,8.736867911057377,3.2765682699988803,Haryana,Moderate
91,80,179,8.180449264593072,1.1093330078822596,UP,Poor
57,132,28,5.55945886577487,1.1155640657194974,UP,Poor
89,59,138,8.79351467771972,0.625268275812817,Maharashtra,Poor
116,102,140,5.50244365707558,3.266563201764977,Punjab,Moderate
61,112,157,6.2149501010843515,2.7781941168451145,Bihar,Good
22,53,93,7.775678303444385,0.6603475616178804,TN,Poor
126,117,111,5.545021241661901,2.4006056282061974,Punjab,Moderate
136,138,45,5.622539893178654,0.8604033182552822,Maharashtra,Poor
139,74,190,6.050410793863335,2.754215664356627,WB,Good
128,90,192,6.34194679801332,1.7271615288632918,Punjab,Moderate
57,140,114,4.618081209067139,0.6553305008888888,Maharashtra,Poor
121,43,135,4.087458290096965,2.988222347146201,MP,Moderate
0,135,13,8.59578596427527,2.217239824260166,MP,Moderate
33,14,184,5.765943160114966,2.8186045359098717,Maharashtra,Moderate
95,7,190,4.508443007757687,2.5235925532007983,Gujarat,Moderate
125,50,192,7.795857010700219,1.80318852411528,Gujarat,Moderate
117,71,86,5.475303354989454,2.5959993786051827,AP,Moderate
47,101,181,4.908320371007235,0.544260382740678,UP,Poor
88,23,98,8.813055164303332,1.519212676946073,WB,Moderate
116,66,137,8.602714457270547,2.833560188080783,Gujarat,Moderate
128,102,194,4.528729289684951,2.789185720441086,MP,Moderate
15,61,120,8.496426049107773,3.1622281016289597,UP,Moderate
68,99,164,8.454337630016376,2.3331365610746224,UP,Moderate
21,111,31,7.171872764592381,3.3265904062826115,Maharashtra,Good
92,92,156,6.648690004450907,2.173136619848081,Gujarat,Moderate
75,119,170,5.087192589006542,2.0013620201227384,AP,Moderate
85,123,199,4.6069213770293445,1.0916498268821466,Punjab,Poor
28,56,148,7.031845254800157,2.83650925752402,MP,Good
68,45,147,8.109786283614463,2.57617146461301,Punjab,Moderate
46,52,29,7.443219272712772,1.8822820539843255,AP,Moderate
93,95,204,4.90400211833678,0.7613262443143256,Bihar,Poor
84,43,8,5.45009320125855,0.8771071423536336,UP,Poor
38,17,36,6.732087935947597,0.8433835878626783,AP,Poor
99,136,177,7.124962587717311,1.626797924267588,TN,Moderate
32,100,188,4.361263062536778,0.976932722140406,Bihar,Poor
100,113,39,7.070258191223395,3.0825262977896197,Punjab,Good
22,108,185,7.681596974318113,3.1980383614479955,Maharashtra,Moderate
9,102,34,4.906789243039129,3.0703071938770723,Bihar,Moderate
68,47,107,5.231093575265312,2.32656481530598,Maharashtra,Moderate
99,92,116,5.294482950893571,2.289066195430124,MP,Moderate
33,97,53,8.699051262879273,3.172772259427483,WB,Moderate
137,130,98,6.035080603939948,1.7189244819914165,Bihar,Moderate
95,113,87,6.652857281922831,0.6870329575726534,WB,Poor
0,51,184,7.62157174858512,1.9111794713455037,Gujarat,Moderate
68,96,134,5.857301316934847,2.161131387893152,Haryana,Moderate
3,45,191,4.527777734721775,2.148356434940537,UP,Moderate
15,7,169,7.271609353593603,0.9770122385332493,Punjab,Poor
23,125,33,7.336365832868628,2.850238919985761,UP,Good
79,81,162,5.30273907500607,2.695900727813747,AP,Moderate
1,99,122,4.176144549253609,1.189558801192415,Bihar,Poor
127,17,26,7.326765771226882,2.153687839181546,TN,Moderate
83,109,106,7.517127762241111,2.8709846260605554,Punjab,Moderate
139,22,23,4.130324462863824,0.5230538689225318,Bihar,Poor
123,41,71,7.465916342281089,1.3254644203716563,Haryana,Poor
32,59,90,8.694642845330362,1.9161136032601236,AP,Moderate
100,56,22,4.893926415070524,3.035094800672171,Haryana,Moderate
11,40,113,6.606618773009729,2.896901809611704,TN,Good
66,118,197,7.483882273541839,0.9529775718435777,Maharashtra,Poor
64,56,117,5.150397010581839,1.888225681236589,Gujarat,Moderate
73,23,137,7.757744458312736,1.4139101275211807,TN,Poor
42,144,143,8.340442148190427,1.7043009787067576,Haryana,Moderate
43,96,62,8.072754803849163,2.1218744353920216,TN,Moderate
28,143,22,5.294494577971757,1.9980216924623884,MP,Moderate
11,52,76,8.021082204175437,0.9247239182999408,UP,Poor
94,105,97,6.066716222011919,0.8650643681254009,MP,Poor
45,103,188,5.3323171241112295,0.890806720529292,AP,Poor
129,51,154,4.839857335874634,3.0238648488246596,WB,Moderate
34,71,60,8.544907212533435,0.559806064671624,Maharashtra,Poor
80,35,198,6.134487707583139,1.1072139007740813,Punjab,Poor
89,80,27,8.328655934414034,3.3676753343530494,Haryana,Moderate
7,12,20,4.797724944648965,0.6980639996987844,Gujarat,Poor
92,48,48,7.834967330765594,0.6089643434365285,Haryana,Poor
89,39,76,4.5500667389494485,1.6619879742275414,AP,Moderate
114,18,200,4.0878247303997135,0.9536016884603852,Bihar,Poor
104,114,18,8.975246538632064,2.197290650173568,Bihar,Moderate
134,8,141,4.367686666284955,1.51574292775308,Maharashtra,Moderate
57,116,79,6.307702260314173,1.1269082378472794,UP,Poor
113,73,112,8.391926914650654,3.4958051494153084,Haryana,Moderate
74,53,148,8.096897740328785,1.5233123673880131,UP,Moderate
119,59,145,6.35587856477804,2.423019345918747,Bihar,Moderate
20,85,40,7.054242533367244,3.1223391194167887,Gujarat,Good
137,144,48,7.148530758314097,3.2671614595951333,TN,Good
100,143,104,4.549124915053278,1.7303819098367779,Bihar,Moderate
98,119,85,5.424520471698232,3.4284687738981567,Maharashtra,Moderate
35,79,18,5.504915805905483,2.673695955195573,Gujarat,Moderate
95,102,97,5.890640752673343,2.249827253949112,UP,Moderate
36,131,21,5.369587675729864,2.579837998134819,Bihar,Moderate
11,115,197,5.257492307306613,1.5804133194352117,MP,Moderate
112,105,101,5.773927563592329,1.7732161511190117,WB,Moderate
12,118,130,5.896132539515909,2.2588071612870824,AP,Moderate
22,33,58,6.436120283793306,1.480502388281228,Punjab,Poor
98,66,130,4.867677010741447,2.806435224666224,UP,Moderate
104,57,134,7.9416833175948485,1.2532604018837552,TN,Poor
29,121,149,8.3033385018532,2.8904165294264423,Punjab,Moderate
16,95,27,5.240824417452909,0.95647201335315,AP,Poor
112,110,133,4.616503635589575,1.1521726033150532,Haryana,Poor
61,90,16,7.6115599063172255,2.7592817615937886,Gujarat,Moderate
83,132,145,8.621225613614673,1.289424683114526,Gujarat,Poor
111,104,16,4.1757416958648035,2.8861827557239006,Bihar,Moderate
85,98,61,4.072179895171604,2.851609989968326,UP,Moderate
18,80,90,4.9171273069216825,1.2719037176677985,WB,Poor
99,7,22,7.423962426539683,0.7192430483838611,Haryana,Poor
139,85,107,8.823905039154457,0.999081743857034,AP,Poor
75,109,87,7.751904775796631,2.757580185402848,Punjab,Moderate
8,36,98,6.865163001826307,3.040982616483704,Maharashtra,Good
27,12,147,7.502746964377739,1.6491665362424186,UP,Moderate
127,91,171,5.153491556460946,0.9926564937207738,Punjab,Poor
51,34,82,7.442759740325602,0.726409248172284,Gujarat,Poor
82,78,77,5.6072247673932125,1.1474480755763299,Punjab,Poor
110,127,201,5.112110664163391,3.4390545828373735,UP,Moderate
116,125,165,5.182779992561509,1.0108190498913734,Maharashtra,Poor
68,42,180,7.338938759280731,0.7585010159583769,WB,Poor
98,119,137,7.83612861100146,2.8564205688019704,MP,Moderate
139,113,92,6.909010552792735,2.34623448624969,UP,Moderate
