N,P,K,temperature,humidity,ph,rainfall,region,crop
48,140,47,17.29108421121812,23.296725038807516,6.359614775699543,88.15607915864904,Haryana,Cotton
58,70,37,20.119077305931896,80.59363546739114,4.535370548198219,252.5075050930406,Haryana,Wheat
14,25,134,23.97812904649916,49.32592151226112,4.161763381510452,94.93195643368428,AP,Sugarcane
50,83,191,30.93096086021606,67.96191995170946,4.123328434889506,80.87928145775743,TN,Cotton
107,74,12,20.5609456551582,30.714163970835514,6.105459082871542,283.65335198096903,Punjab,Wheat
54,9,116,13.126016289123372,78.02736498662257,7.940694641816046,198.2104282598225,Gujarat,Maize
63,71,37,31.91024911743222,77.6940312227083,6.868147749690914,171.1436721857177,Maharashtra,Bajra
130,20,167,33.83925034053559,53.75033173748551,8.04839184272981,33.60079340042963,TN,Cotton
50,103,150,17.429459667637424,67.05012956753806,5.5969429388676915,98.85432136075107,Bihar,Cotton
134,77,94,14.102687312269197,56.50176893179685,4.701705315062824,54.630202746282436,UP,Maize
20,39,153,25.834031543972507,58.65861804483279,8.015008034659129,64.6646803208424,Haryana,Sugarcane
72,87,196,16.249429026140394,82.21610970321274,7.639208628022191,93.51378201097229,Punjab,Wheat
17,114,160,21.22490300045886,87.68410119384254,6.945536233188882,58.036526006349014,MP,Sugarcane
131,43,120,33.320836603865516,45.7249260172333,8.438799821329201,271.88118842669326,Haryana,Groundnut
88,14,177,16.588211295537665,43.221318837063706,7.153400529149933,43.78018992645873,UP,Rice
59,5,24,34.18777783356133,41.26652052556542,6.629077523732474,260.61937770372276,AP,Rice
13,10,127,30.220599634489314,73.95311556664171,6.5115502561003025,154.17091439705052,Haryana,Sugarcane
8,70,136,16.591775912137024,70.60282217414273,7.086875196503937,63.795314949664636,AP,Sugarcane
89,42,40,25.7921380313825,23.066005323448103,6.583126653520133,167.59544047310538,Punjab,Wheat
52,71,102,28.422122875188013,26.190862349402906,5.3635067335542255,261.11346115438823,Punjab,Cotton
129,104,81,16.0082811344093,65.23434302145296,8.769362552649444,269.1862141274278,UP,Cotton
83,81,184,14.348480074375507,39.247103695675015,8.790307953152562,119.62643357434781,AP,Wheat
91,39,130,25.93503803278794,26.410622124546514,4.834230188715384,207.6407492953316,Bihar,Jowar
110,49,43,30.81523498406983,48.956459826180826,6.652974097039165,38.44975493853359,UP,Cotton
7,72,75,23.95206520214645,81.42379804837438,7.948079391214652,159.7963484720597,Punjab,Maize
34,21,110,12.101177455957611,45.64182484594306,4.273878894689462,83.55113873084854,AP,Sugarcane
80,9,144,37.756381200903945,68.69410271483687,4.617813598087525,103.67887586903808,MP,Maize
49,61,59,30.848963375635318,83.04024087032917,6.724464972438694,149.93050055731095,UP,Cotton
103,99,122,28.63588857360685,31.851915694073156,4.141697017215018,275.8057288710461,Bihar,Soybean
131,34,98,29.30881035792032,62.6791212289344,8.164958821267737,250.5599315643818,UP,Barley
1,11,180,21.95816802724208,83.5361469454511,8.365829316753562,127.0841207593748,TN,Sugarcane
133,128,102,39.53201497918306,33.53891660723791,7.681552736981525,153.72420781705466,Gujarat,Bajra
53,95,13,13.980376351555357,89.20988296518605,8.111803241613384,264.7567489683387,WB,Jowar
105,56,144,32.1742413244968,45.55584708928392,7.358563881873777,43.09918064324708,Maharashtra,Cotton
3,10,73,22.626278808012966,35.22680671430861,4.70933339759578,237.45911656948212,Haryana,Jowar
53,113,87,36.43288142824379,78.64736160383076,4.1492726285136445,67.38808639586046,Gujarat,Cotton
43,99,189,31.517838226511433,52.753628972491924,8.240422179676607,98.05722671405945,AP,Cotton
13,70,32,26.867566700790768,66.94747256185244,7.535804087362893,80.91723508962548,WB,Sugarcane
94,14,21,38.13080903164541,54.27250498528865,5.992307426291157,174.34965947132685,UP,Maize
47,30,26,37.37330082819211,65.04694585563792,7.984185385533807,84.3996145635998,Punjab,Cotton
14,137,167,11.570019878567368,22.475817049783032,4.266399977340782,147.82417139250293,Gujarat,Sugarcane
39,72,117,15.777641402181784,44.51261585727396,5.59542882560068,27.307205228911048,Gujarat,Sugarcane
81,102,191,30.281397547137356,66.01183015114287,5.709248791412056,108.54799880550036,Punjab,Maize
110,75,151,37.65518279518254,44.55464074317129,4.5243756332172325,219.12405758376116,Maharashtra,Maize
52,54,182,22.909900076054278,74.30282340660057,7.708482860321575,141.72891024474688,MP,Sugarcane
23,21,158,11.149157360812241,87.26191562521649,7.887634456310076,250.53513457770063,Maharashtra,Sugarcane
123,15,112,29.298917799401117,22.618801349888713,6.915852405301447,148.73349326992027,Bihar,Maize
40,57,64,15.840609917234307,79.87227086715329,6.089288720268558,265.26590023864253,Gujarat,Cotton
14,54,48,26.569651999500515,31.834481224773484,7.035262261369856,130.46530768260362,TN,Groundnut
44,140,188,21.540497758736596,84.2135965950193,8.491912333995758,121.11424108835377,Haryana,Sugarcane
64,128,47,26.740811173060933,86.27549222689164,5.7887600617309545,91.9048561486666,TN,Rice
88,66,155,37.973089583901995,59.84257232320396,5.671235903577429,149.31981199578902,Punjab,Bajra
70,80,154,24.57401771328916,53.53084850416789,7.1136427006820355,252.65560278607379,WB,Groundnut
8,127,179,11.035864713163695,73.09499267163727,7.418190933525258,219.87787586275147,Maharashtra,Sugarcane
87,94,59,27.427539588383315,84.26150583027444,6.288743847748082,68.33277704917654,UP,Cotton
128,33,15,19.772365905259537,36.27122504436261,8.29782173120601,279.0991168423619,UP,Groundnut
135,106,59,33.344046531874156,46.77090092624678,5.761441665150304,145.06947908047772,Bihar,Sugarcane
62,105,158,24.097854108840263,49.22751964334164,7.204586335922441,82.26395939719592,Haryana,Wheat
138,114,133,32.241122134949265,79.20748730503038,7.338979334983354,282.95489318168774,Punjab,Wheat
80,113,194,37.26462986044941,29.58419147030045,5.474097987813168,143.3889030714861,WB,Rice
135,33,153,20.86821973817353,63.6130927579336,4.094257023698946,68.64562853303259,Gujarat,Bajra
32,63,12,39.681337371724105,44.565891247648274,8.133061282450612,250.53060579497898,TN,Jowar
122,74,152,14.494385978193556,81.98598877480288,6.41209074951748,160.08906775530892,TN,Rice
4,100,177,29.317950456795657,43.785361491665995,4.4772754351445805,75.10071836467223,UP,Sugarcane
40,48,85,11.043028093937345,88.45623993787376,8.787798474742033,210.48668999190414,UP,Barley
27,88,83,16.391699975534078,21.094247630972774,5.482135049653026,294.9561516787437,Maharashtra,Cotton
134,125,69,29.013357743697252,36.76875358876761,6.372336314116109,43.606747213051214,Maharashtra,Bajra
71,61,64,11.3857521868329,52.0124639270378,6.420334681894506,141.6346643563812,MP,Maize
11,121,199,13.05361255865076,37.94272080889378,5.853999858615054,163.68535229424478,MP,Sugarcane
32,68,99,18.73031784745642,71.61754577982782,4.757913369369046,205.13232855542415,Haryana,Wheat
47,103,60,27.269114079467524,77.01860283483613,7.521457582279103,83.9762408475365,MP,Bajra
61,42,132,10.479476661734473,68.82555961795727,4.977430958630789,71.75783811408415,Bihar,Cotton
36,31,126,24.470627727334364,87.92789383162582,7.41162830193967,227.7342780096094,MP,Sugarcane
98,21,35,28.772312462353142,51.92266010752183,8.010539886684835,207.4166736885939,WB,Wheat
103,67,89,22.075683664969887,88.58388567638009,4.115660497092262,88.81374460425315,Maharashtra,Soybean
34,15,91,12.02919422436723,28.722744131492934,7.658923209056066,35.920560035335306,Bihar,Cotton
100,68,130,28.326239055892636,79.21612579771136,7.190165839419974,244.04162827169915,MP,Rice
130,43,85,28.17506190743402,22.690890220045276,4.978866193082962,211.01392869285905,UP,Soybean
0,134,26,25.181270651035092,57.23415964998528,7.100965682756815,266.33814577460043,TN,Soybean
4,119,194,30.7943642678662,53.91301290139429,6.10385820192436,38.93744420814585,TN,Cotton
102,49,60,16.23405199459853,79.94097317125915,4.422959821834541,156.50194723481107,Gujarat,Sugarcane
26,92,90,30.35622227051673,69.05127081602865,6.6184410818478785,64.69401953092733,Punjab,Cotton
136,84,127,14.843642189507577,50.87395641726598,8.866427216297435,208.97705216628603,UP,Barley
14,13,204,21.78080893104361,82.69700878102901,7.244051056705262,89.86232584617356,WB,Sugarcane
89,109,115,12.026999388357943,82.01085780109648,5.652723502221443,93.6103992324344,Gujarat,Maize
41,129,12,34.573819962406205,21.73122833296667,6.8175082186424545,220.17856782968806,MP,Rice
123,82,66,26.147002630448227,80.97130054563536,7.689006332778076,250.94005393926693,TN,Cotton
62,49,82,39.13147607091065,56.86097496554783,4.7812099109227795,274.9495746624862,Punjab,Jowar
95,112,156,38.26979803231244,78.72725828651339,6.6441433119285325,41.86240351074013,Bihar,Cotton
51,103,26,39.95683408695555,32.69265172323214,6.534324503919587,245.8703323258014,Bihar,Cotton
95,31,19,13.037985108467192,30.576686356547633,5.882791286492835,292.0203963803923,AP,Rice
131,44,160,28.19741135609986,70.55422019920663,7.7353279797776935,34.666765366998106,TN,Maize
28,30,154,22.227256349024817,39.275038663306596,6.825053746557157,275.37721009368147,Maharashtra,Sugarcane
35,87,35,25.97993762210872,59.11883860536855,7.494480085238934,287.11764512415,UP,Bajra
12,30,194,19.263020980099547,68.2170877156104,6.979806295857086,73.8491336475352,UP,Sugarcane
70,74,91,11.442065141752897,62.728525628106645,7.90469876207489,106.40707253479412,WB,Wheat
85,71,73,31.23250808820984,68.92758313875352,7.169655562793615,103.72645355161592,WB,Soybean
27,10,113,38.97451221499511,63.42500979425354,7.388707114748395,285.874596015189,TN,Sugarcane
65,32,171,25.97145478253215,46.53896218153322,5.127490768322309,24.66172137172336,Haryana,Jowar
44,17,85,19.88739851385686,26.334609097089853,8.229343207836266,175.85231643252857,WB,Groundnut
61,67,44,38.14834746195919,79.87416035696216,4.776867792910789,182.2756823021038,MP,Bajra
133,17,73,20.939995884245683,79.22057539216797,5.6990815698851875,202.53665957441123,TN,Rice
27,133,187,37.43587578221148,20.397534377459625,8.447029401878174,82.77063237378941,MP,Cotton
27,44,75,35.670725644752125,78.86058483340128,4.542927215258614,152.74623561527173,TN,Rice
107,35,68,25.861330172462246,30.569216425228,8.33339441102852,135.50065011924204,Maharashtra,Soybean
43,21,12,30.30618000005372,43.30038221447556,6.376826427568039,134.3370850442553,WB,Rice
83,141,75,31.009523308468317,48.93440491922051,4.917933374533425,113.52816344468715,MP,Barley
29,113,90,29.232751150817727,67.57415942147433,7.6859676678198925,284.130929190266,Maharashtra,Soybean
74,68,48,14.82249864915876,26.469083969113623,5.419409150598627,202.37290118393554,WB,Rice
127,61,42,30.783286351204612,77.8651912449423,7.389545979495133,232.8202514370792,UP,Rice
91,29,121,10.096542523350514,85.99234504009031,7.954477871062234,110.08896213742096,Punjab,Wheat
128,126,153,31.30110455137789,86.68871080419379,6.846644068785071,20.21893059192287,Punjab,Wheat
120,82,8,26.64508403875602,26.428660106326582,7.929993216893834,286.6266791260504,UP,Groundnut
26,61,164,17.792812664285155,84.35661774991732,8.675231317763131,265.3755971301197,WB,Sugarcane
120,75,59,34.11293034231545,59.74802279290554,6.7520087669184194,148.20312924823347,Gujarat,Groundnut
115,92,97,22.158368166295627,70.88499938083476,4.761842763183422,127.97470120875455,Bihar,Groundnut
2,117,192,24.57331553848397,85.14176945494718,7.548008397435348,144.51108924639385,UP,Sugarcane
102,104,63,10.83023664601404,66.2696819614,6.050367919999712,95.34168223259852,UP,Wheat
136,51,98,22.039590572995785,51.97176119755093,6.656513980125775,192.1736898054793,TN,Rice
61,120,71,15.020883774494793,56.757828335873434,7.134076806930798,292.62729412658723,Bihar,Rice
50,135,9,18.284299355042307,67.91524353274029,7.587463299920342,38.62741445155758,TN,Bajra
58,94,87,17.56418496060218,86.12892308791062,7.1989631589242595,241.09002647953653,Gujarat,Sugarcane
117,115,76,11.380623812022812,82.28660886436865,5.164351287559119,36.535723842152045,AP,Cotton
95,94,131,23.814836357428536,60.39470787211942,7.74082956914043,260.53207106483876,Punjab,Wheat
112,133,41,25.677772393896664,34.77071883545531,8.036710466315927,60.79367767464456,Maharashtra,Soybean
61,143,31,27.131878860439503,44.27103872792381,4.188367053931296,158.50955431436094,Maharashtra,Groundnut
51,139,17,23.866593114770644,45.326524878194945,5.540716616773787,162.41415045524835,Bihar,Soybean
11,16,138,36.085806820512204,40.242182378972785,8.888991756092224,196.5632781680481,MP,Sugarcane
38,110,69,11.13039235325928,72.27219088711621,4.888636094887968,189.4597757867301,UP,Soybean
129,126,162,28.414258173797812,78.51913211396007,4.914101170560703,216.6779580296011,MP,Cotton
130,57,184,35.98395038920849,42.38816259235455,6.9566224819575915,257.60993882579874,Maharashtra,Sugarcane
112,104,45,11.231207227370813,79.22881905837716,5.6908090695492515,30.100938949297202,MP,Maize
100,41,19,24.88920998272718,71.41061855157616,7.285605609302474,226.66557073416737,UP,Maize
112,123,137,27.670815786456945,50.87815357441764,5.313225558776565,34.399828527219924,Maharashtra,Barley
80,63,19,15.727172487300338,68.90641209376216,6.130003785825671,242.2590561233154,Gujarat,Groundnut
112,58,5,17.57500326495698,73.85368178989957,8.992162524793635,242.11415823732654,UP,Maize
1,5,19,33.56780012630057,59.272177298889744,5.8672037366437575,73.46475430623775,UP,Cotton
129,32,192,27.02193345128561,51.01793724935309,4.430829152028962,78.58971965113938,UP,Cotton
53,116,52,19.47336091726189,27.12001128453635,7.71218079618143,41.8651196240056,UP,Sugarcane
86,20,186,32.94265666831811,20.095876978363698,6.9428814286160865,87.27165482898575,Maharashtra,Cotton
128,32,187,32.40146722612737,85.60759174078491,6.222896109370125,159.80075641019735,Haryana,Wheat
125,116,76,20.36205355925167,38.723934537804936,8.54360468516514,128.86654371074962,Gujarat,Jowar
129,133,121,24.659428913478223,66.40888144084389,4.733136623433003,82.66544375766372,UP,Cotton
52,120,31,29.935568006127912,86.03528109509118,6.448664259134439,193.90109022314525,Bihar,Jowar
67,102,162,20.29747653646048,77.28038948653573,4.958928616228249,166.37981345993612,Bihar,Jowar
122,74,64,28.87028233003531,28.58079629745621,4.417473034848175,55.123064605742,UP,Sugarcane
37,96,70,17.53221192195319,76.13387153117388,6.211768608337764,109.80927696593461,Bihar,Barley
23,7,178,18.76062482464777,70.84751692832083,8.736734920914959,283.4617117726125,Punjab,Sugarcane
68,85,56,19.320179301233317,43.05779718810622,7.610334857727363,208.5875669698176,Maharashtra,Soybean
115,48,85,38.081643112465414,68.27212588454705,5.172553052031026,286.25688566634506,Gujarat,Rice
97,28,39,35.010164263229484,77.81210579548915,6.313114828954829,147.6185437934584,UP,Sugarcane
138,103,125,26.954979267675043,40.39953362088072,7.987258763529671,25.695625288661592,AP,Rice
96,116,46,26.916166282346175,80.83204922765586,4.9770678823639924,241.82495763874107,Gujarat,Bajra
123,127,188,11.684395661654271,25.51700688448529,5.018482783632608,46.46514173449523,Haryana,Wheat
69,116,49,29.485241898115344,56.92181179618789,4.905152000125573,283.90816525360253,Punjab,Bajra
92,134,56,19.843595719847457,36.32537595223845,7.037215388025291,105.81652584692326,TN,Jowar
2,72,155,28.36898086390239,70.96073461745537,4.144754684919456,204.4747604037203,Punjab,Sugarcane
89,95,161,35.20701243313709,32.2406193999812,6.938106606258053,256.9597470232477,Maharashtra,Barley
95,64,33,11.364949175799545,43.90176524204554,8.126848760356946,148.24253819427315,UP,Jowar
51,136,61,28.21190510232793,28.917002975630027,7.91326078959964,140.4240523404624,Gujarat,Bajra
127,128,23,26.926018437002888,76.83403172688571,7.334156474067068,72.1151356709162,TN,Maize
38,100,12,16.202996656883005,29.259234879387137,5.09746176726316,223.86906536606872,Bihar,Wheat
81,133,182,29.39298846894037,70.62061241914134,8.08208609258791,115.0144204655674,Maharashtra,Soybean
103,37,139,26.64505701835873,69.50611525700637,8.787326835719862,195.73207576234944,Haryana,Barley
128,34,143,33.019603720669544,29.96578710131189,4.9189116458658315,89.05521982547185,WB,Cotton
10,9,199,13.318557044480483,59.62357534462097,8.551641280029028,226.9365125574567,Bihar,Sugarcane
41,122,70,23.308220611120618,54.78155228187522,8.264944435315051,215.01095745260525,WB,Soybean
98,144,87,39.937988013045185,61.61531982877329,8.896400605596643,22.427687290117845,Punjab,Cotton
6,42,160,30.678425446134113,85.60593427594769,5.596378656692181,48.519016316709546,TN,Cotton
89,21,188,30.528946679094656,25.637591570474633,8.67035772318673,42.953455015266336,MP,Cotton
111,113,32,19.53613301057029,77.43526112606428,4.897589837635798,29.748862274626788,UP,Rice
59,44,93,12.81664312663549,80.34752233631917,4.8758845579561685,36.706936529211646,WB,Rice
112,144,79,38.484831257080614,28.839186323045844,4.53494297236578,111.00758501530126,MP,Soybean
1,115,44,13.164142089057815,65.92742968514209,6.1388604769821535,234.46072306963472,AP,Rice
128,132,134,39.78118931812995,69.14862035223993,4.0609118834159625,169.1880783130547,TN,Rice
47,99,80,13.77342917265807,58.40663977627405,5.906719788604532,49.74580714956886,TN,Maize
139,33,193,15.127220455777834,55.205097080463204,7.129630723527358,34.561890819324574,Haryana,Wheat
36,77,80,19.25100865150096,42.24728982876721,4.391307191991298,49.13558476755224,TN,Wheat
8,25,118,25.371255804686147,68.2357110384031,8.092374619858695,124.57372889461855,Maharashtra,Sugarcane
98,64,157,33.71204956332298,39.988266063893974,5.463600755922027,105.16735446234618,MP,Maize
47,102,99,39.130249058045166,52.20162309259728,4.232277706197684,218.75209828776914,Punjab,Jowar
130,79,58,20.764746428722972,80.01584171219221,5.873059200239391,195.13758971245718,UP,Maize
53,123,149,10.612392796754778,26.267800917438016,4.692183557499424,265.4808722273249,Gujarat,Groundnut
119,117,180,28.5003856898741,56.985917987824415,7.976401695083126,285.5315019643952,AP,Wheat
115,118,144,31.323695837463088,54.02518423647,5.670036502025095,20.404106392584893,Bihar,Cotton
74,107,193,21.923326466069994,46.493697866086656,4.585076366194344,83.87932315512913,Haryana,Barley
112,84,6,15.5042814692927,61.82707849868036,6.268299315659421,41.836031225350084,AP,Soybean
103,67,84,19.18046784214112,21.093855119451955,6.259883272205647,105.84925929333522,Haryana,Wheat
83,61,69,29.673991279597388,54.47287024651371,5.378047513594263,187.24594217725692,Bihar,Barley
111,33,56,24.82548609303905,53.99833783022316,5.634982152819369,94.58256201326186,UP,Barley
98,133,38,32.30272085956762,56.12786041496154,7.844194346555251,73.16923659850028,Punjab,Wheat
92,128,49,16.545107335699427,34.87081794219948,7.193622627243819,128.29620842289944,TN,Wheat
127,63,133,35.25956854911148,34.531755039965944,5.073287517071455,24.930935045729843,WB,Cotton
109,90,104,14.67654754590173,65.30417907836738,8.740921746577893,292.51046868864705,AP,Bajra
81,75,56,19.89746286737332,26.490925412298175,5.523620959669104,290.7773471663387,AP,Rice
53,93,71,27.736228895656637,41.41450658044291,6.667196869493502,57.60896500687338,UP,Cotton
67,102,102,32.10589574957409,78.15711485749114,6.8556029806497465,73.01308134386981,Gujarat,Cotton
32,48,80,17.985444136120677,27.263463956925047,5.0683311332012515,178.31926885888166,Maharashtra,Cotton
20,120,60,38.44359206445523,52.7646192546874,5.456126905079998,106.45676405758954,Punjab,Rice
47,79,190,31.18333849590775,66.80415234561713,6.403468742958075,23.41039153913706,MP,Cotton
127,27,113,16.530250952767368,29.91510527333801,5.2816078379795695,35.145897037480594,Punjab,Bajra
135,49,54,31.77296606885711,41.87240048325463,5.528142135570105,208.50264733178167,TN,Rice
134,96,105,30.89001084153674,59.1129326558759,7.065749192773618,78.86985272375446,AP,Cotton
127,17,123,32.58052215434677,42.90594984277202,7.668772383486507,170.71896997642293,TN,Jowar
32,38,157,37.476421741793075,27.695644454244455,8.004902835177589,97.4295940016931,UP,Cotton
114,74,144,31.351515561375976,36.268445346397925,4.608599024356645,166.97999067401832,TN,Rice
118,112,119,20.557308786523215,27.659074151049754,7.684987440255341,299.70009455759765,Maharashtra,Soybean
21,137,77,33.715524332401145,88.84889991320614,8.681828445046563,213.39217969633333,Punjab,Barley
37,130,197,30.87585273406878,36.49540226691468,6.903668372287928,117.06080153600857,UP,Sugarcane
108,25,60,27.227775575757335,57.13877794412662,7.023401144574161,290.2805896917955,AP,Barley
50,135,54,20.614986799906774,49.996533697787534,8.776617688157224,29.685531391574592,TN,Barley
7,27,160,37.63147529224838,59.865951749119674,8.347161321458987,67.83518751203968,WB,Cotton
26,23,7,25.382642282573343,54.86637783907612,6.788345963541506,159.58365968322337,AP,Rice
26,54,170,28.84310131111705,70.90132884679164,7.829247693585373,101.79326858917896,Maharashtra,Sugarcane
20,24,68,22.460892640818237,81.11097279337312,4.9044950330945865,221.58097730272706,TN,Rice
29,120,58,33.424459264443584,39.97095711027683,6.065569305744287,29.596948806377853,TN,Cotton
96,96,40,20.23118519161317,32.85247358670211,7.577046297735469,96.71697382796819,UP,Rice
27,97,176,34.31903174526853,88.90378933766307,5.44291350013257,259.5619272273432,Maharashtra,Sugarcane
110,87,48,13.238242860147423,80.6250721954708,6.269488164037068,132.56793324531344,WB,Rice
60,57,201,31.26885682373766,45.47428004073978,4.86363971460192,76.84065681859879,TN,Cotton
47,127,123,24.306464476932206,82.63507646010854,8.489015815956384,165.2200139840284,Bihar,Sugarcane
3,89,97,30.96260688765724,66.93824179471099,8.4783418286442,122.57480565808514,TN,Maize
34,86,185,25.94186929140004,50.619444800751666,6.391796254678596,99.09553596780367,AP,Sugarcane
48,13,145,14.02918983110806,81.1395366362236,4.960025369416387,257.58925858377467,TN,Rice
16,8,176,24.30974627651276,67.26979030432383,7.396056213209924,258.4055441064585,Gujarat,Sugarcane
45,29,136,38.93676911994066,77.85158560001005,5.067674781603078,137.1651447952952,MP,Sugarcane
116,38,74,32.64521803710365,49.243182013661254,5.142973006555353,189.0961298551811,MP,Cotton
5,77,183,19.005678460643413,75.91008169486756,8.860232600697397,221.24751658776293,Haryana,Sugarcane
98,141,106,38.32342443720536,45.68488574358415,4.497706724598204,217.1055263268802,Punjab,Rice
123,86,202,33.36838831567323,71.45553605505017,5.896208984334072,113.16423307315301,Haryana,Jowar
36,141,15,20.93341363234476,50.487137929237356,6.774373425446555,205.13051236782087,Gujarat,Maize
23,8,186,28.10721897328555,48.363622337242155,4.538950030950405,277.1131492764014,UP,Sugarcane
92,11,114,22.800568121091686,75.76430642100692,4.194715493626,35.51637872852876,TN,Barley
45,19,194,12.90071181675891,28.75257470807494,6.711689894453745,40.44661402615538,MP,Sugarcane
94,42,191,34.18088219085472,84.97463150434152,4.572796285523516,258.7040995574713,Maharashtra,Sugarcane
98,95,65,15.73234375382565,55.607651261432714,5.255845724949326,188.68185257912833,MP,Rice
115,56,172,23.74114888477135,64.52520791187172,6.486365099593168,27.61961663773934,WB,Barley
66,85,136,31.079143626657345,48.3683045001968,5.737489277635358,234.48210062779276,MP,Cotton
127,104,159,37.96641066480599,65.21122546354866,7.5527790645074875,49.776396127968724,Punjab,Wheat
17,11,20,11.88178271341188,69.68960148669083,8.812270615952851,255.08291753888332,MP,Jowar
24,111,11,21.797006703521127,80.79341348479036,7.76596044185003,155.23574594067367,AP,Maize
53,49,15,28.43943174659066,79.80651002111856,8.99996021151483,101.59348663279117,Haryana,Jowar
57,63,204,33.37927916355836,45.04702900282775,5.9445634979921,192.9272085625107,AP,Rice
66,126,68,37.627935283015034,63.10970096811731,5.526193267649864,68.68769339831312,MP,Cotton
103,25,184,10.014919451593693,74.64041088750841,5.062926462466262,170.5885038090226,Punjab,Wheat
23,7,132,28.832901480963326,73.54044430713176,8.424389951212715,157.19804209374993,Haryana,Sugarcane
113,6,10,10.208107755839897,82.36520142268941,5.949678629393096,87.26589248118921,WB,Groundnut
31,33,124,33.6176586262239,78.23604776713597,7.554709934870787,206.97174508777118,UP,Sugarcane
85,41,52,14.489997910431141,70.2499148354824,7.373885283565064,118.09939968147815,Bihar,Bajra
126,49,73,36.838619180335776,72.41986644401692,4.285373302292883,258.1404420102854,Haryana,Cotton
129,124,125,14.653727072381162,76.52106294950563,8.398231064047955,43.380909500867574,Maharashtra,Soybean
16,50,10,32.9298694573774,78.65219574566557,6.432675525425559,235.64153165125987,MP,Sugarcane
103,144,193,18.67911783441855,44.68683201157583,5.117741040186173,142.5777350460598,TN,Rice
136,57,198,26.71761645490762,74.7267513685338,8.895434564649886,107.32707205512831,UP,Jowar
42,49,89,28.25302705313897,86.44462904151787,7.765781619420007,282.8864413754184,WB,Maize
38,36,114,16.2028194594141,36.30743717897937,7.083669236820702,76.00080461782869,TN,Sugarcane
25,22,185,18.960906505781644,23.376447087897496,8.94188084014493,138.4790477005697,Gujarat,Sugarcane
98,17,32,13.225233473115745,25.067740402158698,7.782933703984008,149.9472659827081,Punjab,Wheat
49,136,113,10.158670161312463,35.170272626164305,4.605720810185581,103.31817986147323,WB,Sugarcane
12,27,137,17.184041155481893,84.38532566272772,8.955735626900905,44.92078585851475,Haryana,Sugarcane
59,66,85,25.480070675171113,28.87572587184463,6.988005052377762,273.44562042934876,Haryana,Jowar
134,58,105,31.407917782749443,72.3322131049073,5.497177040416603,270.3109569030413,Bihar,Jowar
56,73,62,33.80678875275795,80.69306817832333,8.087603133081078,196.08921761156932,Gujarat,Barley
35,18,28,12.092978822099262,81.42647153186296,4.239598931865167,110.8252319080052,AP,Rice
19,102,163,18.172386596466744,49.17240094378573,7.271832263030209,195.83517916290046,TN,Sugarcane
64,32,173,33.10671936224993,54.668321448761574,4.79636565158147,290.03612766505387,Haryana,Sugarcane
7,99,72,24.42606624753727,42.62741989650932,4.437713594206785,267.35165810901253,AP,Rice
114,75,111,15.46560961979655,30.314107291376743,5.769920190424795,66.36053038318471,AP,Groundnut
91,71,178,21.766420236894735,34.85198924113907,5.781817292798965,248.53517489760037,Gujarat,Soybean
97,104,14,18.101025726998678,29.434959945040184,7.002633140645323,243.37344312500863,UP,Barley
65,65,169,11.519605157626625,48.526558771709304,6.827173211604878,276.8312553199068,Gujarat,Bajra
