crop,N,P,K,ph,region,fertilizer
Sugarcane,139,132,39,8.684012014668253,Punjab,Ammonium Sulphate
Groundnut,9,89,119,7.617035329284564,Gujarat,Compost
Bajra,132,111,9,4.958112495424119,Bihar,SSP
Cotton,32,103,60,4.770463721179619,Haryana,SSP
Wheat,68,63,87,8.35503234057972,WB,Urea
Maize,79,78,11,8.814071311994848,Maharashtra,Compost
Jowar,100,6,57,7.111593527097245,MP,MOP
Groundnut,28,52,176,8.506273053152528,UP,Compost
Sugarcane,133,10,190,8.07444972686466,Bihar,Ammonium Sulphate
Groundnut,52,47,110,4.770063895553423,UP,SSP
Bajra,123,131,46,5.114848285724479,TN,SSP
Barley,41,83,22,4.338795927852037,Maharashtra,SSP
Wheat,46,125,10,6.37028455633244,Gujarat,Urea
Wheat,10,124,136,5.619741025980705,Haryana,Urea
Jowar,82,33,201,6.1302301251175315,WB,Vermicompost
Barley,108,82,146,4.043319761708057,AP,SSP
Soybean,26,62,173,7.606220071713217,TN,Compost
Rice,61,74,179,5.002858429894261,MP,SSP
Maize,130,13,101,5.841329548486125,Punjab,SSP
Wheat,102,43,57,6.01187895335587,AP,Vermicompost
Cotton,43,126,25,4.33122174043691,Gujarat,MOP
Wheat,92,63,145,5.827573846846091,Punjab,SSP
Groundnut,29,48,198,8.499234488023998,Bihar,Compost
Wheat,118,69,147,8.466017327285776,Haryana,MOP
Wheat,28,15,103,4.122949552510288,AP,Urea
Rice,29,95,177,4.148948688004898,Bihar,SSP
Rice,103,88,88,6.969828386114299,Maharashtra,MOP
Sugarcane,109,9,197,5.0241148821025465,WB,SSP
Soybean,31,118,178,8.49255655619313,MP,Compost
Cotton,137,109,135,6.414271068429792,Bihar,DAP
Wheat,50,20,149,5.62896503959723,TN,SSP
Wheat,135,11,149,8.766384596338067,Maharashtra,DAP
Maize,35,48,24,5.589640659863399,AP,SSP
Rice,54,30,8,5.604142653046358,MP,SSP
Cotton,35,40,79,4.665485692191693,MP,SSP
Jowar,55,96,19,5.1112602897248,AP,SSP
Sugarcane,35,16,61,7.8024534505077865,UP,Ammonium Sulphate
Soybean,88,94,177,7.798728982436449,Bihar,Compost
Barley,61,72,31,5.932994380848441,UP,SSP
Soybean,108,112,24,5.746875628456005,Punjab,SSP
Groundnut,86,108,112,6.09197311684753,UP,Compost
Wheat,63,92,83,5.504184423736681,Maharashtra,SSP
Sugarcane,56,99,138,7.0389716148772346,Maharashtra,Ammonium Sulphate
Groundnut,112,130,22,8.182912341491917,WB,Compost
Cotton,69,34,90,4.046868057782393,UP,SSP
Barley,19,67,53,8.680035358523945,TN,Ammonium Sulphate
Rice,53,7,156,4.589766891871214,Gujarat,DAP
Sugarcane,0,106,15,8.498530617436746,TN,Ammonium Sulphate
Sugarcane,89,96,150,5.1677864985197,Haryana,SSP
Wheat,137,52,39,8.58516296022415,AP,Compost
Bajra,112,12,59,7.936655421218456,Haryana,NPK
Sugarcane,12,139,99,5.345846662256656,Haryana,SSP
Maize,109,41,32,4.141381558303938,Maharashtra,SSP
Barley,90,75,92,7.579216039686253,AP,Vermicompost
Barley,94,86,168,8.108813724210327,Punjab,Vermicompost
Maize,42,116,113,7.398820444535907,AP,Urea
Jowar,137,107,28,5.90833153783043,AP,SSP
Maize,73,25,165,4.636960729871894,MP,SSP
Maize,13,38,120,5.735243610254523,Maharashtra,SSP
Barley,98,31,169,5.342919840412639,Haryana,SSP
Soybean,108,12,145,7.615448540793557,Punjab,Compost
Barley,95,22,20,4.796804584998345,WB,SSP
Bajra,57,144,116,8.097712929554167,WB,Compost
Wheat,135,55,175,7.059712577645476,UP,SSP
Groundnut,95,140,77,6.412843355160014,UP,Compost
Soybean,37,51,54,5.80116070275065,Gujarat,SSP
Rice,63,60,115,6.537468300730573,Punjab,MOP
Groundnut,8,143,17,6.7007445657218625,Punjab,Compost
Wheat,120,83,75,5.184924541454495,Haryana,SSP
Bajra,31,18,167,8.94377281171808,Gujarat,Compost
Bajra,10,104,39,8.54773829104255,UP,MOP
Rice,104,7,28,5.953989801294427,MP,DAP
Soybean,81,126,185,5.2701079232891255,AP,SSP
Jowar,36,11,43,5.53522689291924,Bihar,SSP
Maize,81,43,151,8.900839015219537,Haryana,Compost
Soybean,11,119,176,6.0353227662117215,WB,Compost
Jowar,3,114,130,8.559650501307049,AP,NPK
Bajra,42,69,178,4.29511842454141,UP,SSP
Barley,50,29,177,7.8839817469624585,Maharashtra,SSP
Wheat,4,35,164,7.810629680481067,Gujarat,Urea
Rice,133,90,9,7.254932996562901,AP,MOP
Wheat,86,142,80,4.605591290368927,Gujarat,SSP
Cotton,105,81,108,8.906996384686217,Maharashtra,NPK
Cotton,55,141,138,5.063897819245945,Gujarat,SSP
Soybean,109,126,86,7.548560402865614,Maharashtra,Compost
Bajra,67,12,11,7.757380985973145,AP,DAP
Bajra,95,101,19,7.7995945916774065,Punjab,MOP
Maize,43,23,77,8.130025049909252,Haryana,DAP
Maize,89,34,24,8.94562040415729,UP,Urea
Maize,41,13,63,4.479950512668009,WB,SSP
Barley,138,87,8,6.360945737624325,Punjab,DAP
Groundnut,72,51,110,8.874202679674429,MP,Compost
Sugarcane,10,94,44,8.410426568088953,UP,Ammonium Sulphate
Groundnut,57,5,69,8.953101915717989,AP,Compost
Wheat,127,135,39,6.912172778678528,WB,Vermicompost
Groundnut,20,5,48,7.364246823739496,Punjab,Compost
Barley,20,127,11,5.319016771298907,TN,SSP
Wheat,71,141,154,6.291650875966971,MP,Vermicompost
Groundnut,128,139,27,4.104744018269553,WB,SSP
Barley,101,34,69,7.59860397963198,Maharashtra,Compost
Sugarcane,12,81,92,8.629386885927946,UP,Ammonium Sulphate
Groundnut,72,85,24,4.5607464393277475,Maharashtra,SSP
Barley,5,17,36,6.27188962698163,WB,MOP
Maize,111,17,101,7.115836738294329,Bihar,MOP
Bajra,16,46,168,7.1608911730255675,Gujarat,Compost
Maize,72,128,150,5.532658312326236,MP,SSP
Bajra,11,105,101,4.098923298341555,Maharashtra,SSP
Rice,85,82,165,8.439076056425085,Gujarat,NPK
Rice,121,111,73,4.458885324880077,AP,SSP
Rice,69,40,86,4.8883986833511806,WB,SSP
Sugarcane,107,39,13,8.813936338756838,UP,Ammonium Sulphate
Maize,51,60,46,6.501866349655415,Haryana,MOP
Bajra,36,91,203,8.37018465833086,Gujarat,SSP
Barley,116,9,131,8.484727771308547,Bihar,MOP
Wheat,2,125,114,8.947216431747078,TN,Urea
Barley,7,91,136,4.203506963627331,Gujarat,SSP
Wheat,137,102,178,4.265000959587449,Bihar,SSP
Cotton,46,139,76,4.953610413885263,Gujarat,SSP
Barley,63,11,156,7.281991504835421,Punjab,Ammonium Sulphate
Groundnut,41,8,76,5.309829506673533,TN,SSP
Groundnut,42,112,128,6.47812495516578,Haryana,Compost
Soybean,124,132,201,7.9317873304488025,Haryana,Compost
Maize,136,36,27,4.928959003326709,Maharashtra,SSP
Wheat,13,32,111,5.429422807691876,UP,Urea
Wheat,90,8,187,7.637628199372951,Bihar,MOP
Maize,131,113,102,4.038429360475916,Bihar,SSP
Sugarcane,1,12,147,7.786902179847349,UP,Ammonium Sulphate
Soybean,114,34,55,7.3813908239316115,AP,Compost
Sugarcane,0,135,127,4.647930335634611,UP,SSP
Sugarcane,74,134,54,5.219290862711366,Maharashtra,SSP
Sugarcane,64,14,179,4.077021567097316,Gujarat,SSP
Maize,124,74,87,6.907066230553288,Bihar,Urea
Sugarcane,134,123,29,5.985466787729825,WB,SSP
Groundnut,65,75,43,6.117165828976256,Maharashtra,Compost
Rice,71,74,72,4.515924712086178,TN,SSP
Cotton,115,95,178,5.761546203948212,Haryana,SSP
Wheat,120,124,76,8.594991078936333,Gujarat,MOP
Wheat,46,39,123,4.323681580003928,Maharashtra,Urea
Cotton,89,128,110,8.874790629280325,Gujarat,MOP
Maize,39,116,17,8.24004819409119,Gujarat,SSP
Barley,41,106,170,5.014949449678412,Bihar,SSP
Maize,34,134,40,7.52710949502883,TN,DAP
Wheat,40,136,169,4.454732799966529,Haryana,Urea
Wheat,84,86,174,4.798328638111768,AP,SSP
Cotton,123,108,124,6.439805960585716,WB,Vermicompost
Sugarcane,56,45,113,6.002280337014678,Punjab,Ammonium Sulphate
Maize,37,60,128,8.075143621103127,UP,NPK
Bajra,95,59,23,8.696274841108174,MP,DAP
Cotton,135,131,41,8.714077031781468,AP,MOP
Groundnut,62,79,105,4.735014548408777,Haryana,SSP
Wheat,86,84,197,7.431140403948839,AP,Ammonium Sulphate
Cotton,131,132,89,6.853934666455475,Haryana,NPK
Maize,51,136,43,5.851151603927866,UP,SSP
Wheat,37,49,158,8.97414256071426,AP,Urea
Barley,86,88,46,6.280225695698212,TN,MOP
Cotton,4,12,194,7.326656720095061,Bihar,Vermicompost
Soybean,119,111,57,6.514208522155666,MP,Compost
Wheat,69,121,199,4.514519685354064,UP,SSP
Maize,112,13,54,4.70550118359202,UP,SSP
Rice,23,35,109,7.7507163039689875,TN,Ammonium Sulphate
Bajra,85,39,201,8.008419296970699,MP,NPK
Jowar,25,22,111,5.819090570825357,Haryana,SSP
Sugarcane,2,28,161,4.334795755831868,MP,SSP
Jowar,1,90,134,8.785027130552978,UP,DAP
Maize,91,52,22,6.485361984317801,Bihar,Urea
Groundnut,1,64,64,4.670741624859524,MP,SSP
Groundnut,70,97,120,4.992299042391879,Haryana,SSP
Rice,3,26,146,4.226800926313796,Gujarat,DAP
Sugarcane,37,34,122,7.5492794157762795,Punjab,Ammonium Sulphate
Soybean,102,25,172,7.520470457941725,Punjab,Compost
Rice,69,104,196,7.012522014673191,Punjab,Vermicompost
Jowar,51,16,34,6.731501413811702,UP,Ammonium Sulphate
Rice,30,139,33,5.907454443334849,Haryana,SSP
Jowar,35,107,161,8.753167948407722,MP,Urea
Wheat,132,39,23,8.002606155128461,UP,DAP
Groundnut,114,72,94,8.538108660874194,WB,Compost
Wheat,73,134,114,5.55829646948117,AP,SSP
Bajra,17,24,62,8.891418437238656,Bihar,Urea
Sugarcane,14,51,120,4.826751492502165,Maharashtra,SSP
Soybean,96,88,44,4.281362663955384,WB,SSP
Jowar,4,16,13,5.5992022906414665,TN,SSP
Soybean,36,57,125,5.006434562466324,Punjab,SSP
Jowar,103,21,114,6.587617620720112,Haryana,NPK
Maize,85,22,112,5.750996320598469,Punjab,SSP
Rice,14,108,163,4.85873055731857,TN,SSP
Bajra,16,76,82,8.221291592481132,Haryana,MOP
Groundnut,50,109,99,6.539852605841633,Haryana,Compost
Jowar,44,88,147,4.547649691869115,Bihar,SSP
Soybean,121,56,38,4.376665617798703,TN,SSP
Bajra,81,41,66,5.9159022555460865,UP,SSP
Barley,134,127,78,8.539914546095083,Gujarat,DAP
Barley,88,101,61,6.539999497975842,AP,SSP
Wheat,100,104,153,4.695676954976684,Gujarat,SSP
Groundnut,39,124,107,5.233161380116877,Punjab,SSP
Maize,42,54,58,4.247399430086773,Gujarat,SSP
Soybean,72,51,169,8.159201422545053,Haryana,Compost
Rice,22,22,172,8.730261360311042,AP,DAP
Rice,94,126,24,4.3890690418325375,Punjab,SSP
Soybean,16,30,113,4.864904949025358,TN,SSP
Sugarcane,111,124,203,4.855344515395676,MP,SSP
Maize,102,75,150,8.018531021116551,UP,Ammonium Sulphate
Bajra,57,47,176,8.196361507614167,UP,Ammonium Sulphate
Jowar,85,51,188,6.096368443952953,Punjab,NPK
Sugarcane,34,89,21,8.846651574256786,AP,Ammonium Sulphate
Jowar,29,47,46,5.297383795373017,MP,SSP
Jowar,103,132,203,6.625601066400284,Punjab,Vermicompost
Sugarcane,121,11,160,8.981442397341532,Bihar,Ammonium Sulphate
Wheat,133,36,25,8.135519183593239,Gujarat,NPK
Barley,33,92,169,6.435923312861684,AP,MOP
Jowar,55,69,155,4.5426280103956325,AP,SSP
Sugarcane,24,62,115,8.521760140114646,Gujarat,Ammonium Sulphate
Sugarcane,114,96,52,6.710629070511841,UP,Ammonium Sulphate
Cotton,12,38,63,5.5417372947531165,MP,SSP
Wheat,62,94,132,6.256093830640837,Gujarat,MOP
Groundnut,101,70,116,5.55464111376115,MP,SSP
Cotton,121,102,56,6.755277453848885,UP,MOP
Cotton,119,54,21,5.364678986606176,Maharashtra,MOP
Soybean,132,28,42,6.229917805136708,UP,Compost
Barley,10,135,133,6.131301315256413,Maharashtra,MOP
Sugarcane,108,118,79,7.080346017644375,Bihar,Ammonium Sulphate
Barley,103,14,165,4.070830095160397,Haryana,SSP
Maize,110,138,99,6.99375599673532,AP,DAP
Soybean,68,102,48,6.9655688808253755,WB,Compost
Groundnut,101,56,92,5.961441407389437,WB,SSP
Barley,1,54,24,5.234496952606591,Maharashtra,SSP
Rice,36,114,179,8.196256637526009,TN,SSP
Jowar,117,62,73,5.723917108314356,MP,SSP
Maize,48,17,174,5.558647120348089,Bihar,SSP
Wheat,74,129,158,6.315834823570363,TN,SSP
Groundnut,74,63,53,5.389949291518326,UP,SSP
Maize,33,57,110,8.153816712392612,UP,SSP
Jowar,57,24,75,6.824740462545037,AP,NPK
Soybean,110,100,22,7.771895566527185,Gujarat,Compost
Jowar,95,14,106,7.726911323721858,Maharashtra,DAP
Cotton,59,65,99,7.941036549987708,Haryana,Urea
Jowar,139,81,13,8.346029247133497,UP,MOP
Cotton,31,122,70,8.597319811639167,AP,Ammonium Sulphate
Soybean,131,88,64,5.91804530812999,Bihar,SSP
Bajra,105,22,112,6.2185875563299255,Haryana,MOP
Cotton,32,125,41,4.2502944754972445,UP,MOP
Wheat,42,116,179,8.628531888051526,Haryana,Urea
Jowar,111,76,33,6.935726048022445,Bihar,Ammonium Sulphate
Jowar,106,108,67,7.561572391548751,Bihar,Urea
Wheat,8,81,19,6.180026273686501,TN,Urea
Rice,113,30,13,6.369239597460119,Maharashtra,Vermicompost
Sugarcane,124,107,84,6.715882262218856,Haryana,Ammonium Sulphate
Bajra,19,8,70,7.976783899589744,Punjab,DAP
Groundnut,40,55,5,7.064842954980007,WB,Compost
Cotton,43,135,125,8.056051619675667,WB,SSP
Wheat,124,91,13,5.083430187891092,Gujarat,SSP
Soybean,34,70,61,5.029194275391763,Maharashtra,SSP
Cotton,57,32,188,5.034067987177648,Haryana,SSP
Sugarcane,47,48,152,4.0242192354385224,AP,SSP
Soybean,57,6,125,4.895318228278706,MP,SSP
Maize,100,60,6,4.593734565524061,WB,SSP
Jowar,56,124,5,6.268771801151741,AP,DAP
Maize,63,108,78,4.636203568555548,WB,SSP
Cotton,61,122,58,6.079258411833563,UP,MOP
Sugarcane,82,64,23,8.997515576227054,AP,Ammonium Sulphate
Bajra,112,51,22,6.516835271947604,MP,Vermicompost
Cotton,111,82,28,8.623235850167333,AP,MOP
Wheat,61,140,131,7.509541378639111,Bihar,NPK
Barley,93,137,56,8.471603650954254,TN,Urea
Cotton,84,27,24,7.1279033872737685,UP,MOP
Jowar,25,109,143,8.050472718797534,Haryana,Compost
Jowar,120,14,77,5.5140018131738895,MP,SSP
Cotton,49,117,192,5.85954454413654,Haryana,SSP
Soybean,114,31,20,8.801299046311211,Haryana,Compost
Barley,35,103,145,5.337668967773482,Punjab,SSP
Wheat,32,5,185,6.106860088894738,AP,Urea
Cotton,122,75,10,7.255793978366802,Punjab,MOP
Soybean,99,119,29,5.962015972421647,AP,SSP
Jowar,67,140,67,4.1047251791684065,TN,SSP
Jowar,72,143,179,7.961152000484039,Maharashtra,Compost
Sugarcane,135,131,19,5.6782453702416955,WB,SSP
Cotton,22,120,58,5.138323905068535,Maharashtra,MOP
Barley,69,38,175,6.5278285412756905,Punjab,Urea
Rice,54,135,132,4.042162692531708,Punjab,SSP
Barley,109,13,18,8.319465891330541,Punjab,Urea
Jowar,8,93,38,5.306749806664489,UP,SSP
Jowar,128,134,134,8.613734052865588,WB,SSP
Maize,107,27,24,7.388783718844468,AP,MOP
Jowar,132,24,110,6.743244133833604,Punjab,NPK
Wheat,67,77,20,8.031277147039198,Maharashtra,Vermicompost
Groundnut,65,33,199,8.96628236575296,AP,Compost
Cotton,52,124,162,5.256045062742039,Bihar,SSP
Barley,127,62,107,5.7754805616583615,Haryana,SSP
Groundnut,64,122,55,6.422122753286664,MP,Compost
Soybean,63,36,135,6.697388251638577,MP,Compost
Rice,67,144,81,6.764853117099276,MP,SSP
Wheat,61,64,132,6.744862524232149,AP,MOP
Barley,80,143,183,8.141208085033394,Maharashtra,SSP
Groundnut,70,105,125,6.023003191412498,TN,Compost
Rice,113,143,50,4.054856037516354,Gujarat,SSP
Maize,51,116,44,8.378468265940024,Punjab,DAP
Wheat,115,115,33,7.311260930918069,Punjab,MOP
Wheat,124,84,155,4.947407634713718,Haryana,SSP
Maize,126,103,149,4.1480044792627675,Bihar,SSP
Cotton,64,5,97,5.5788992863358935,Maharashtra,SSP
Maize,129,93,73,4.622238669507832,UP,SSP
Wheat,21,117,89,8.484127511978802,Punjab,Urea
Wheat,75,31,70,5.38933172785903,WB,SSP
Groundnut,93,120,155,7.528330451746502,Punjab,Compost
Jowar,70,36,79,7.289945814297522,WB,SSP
Rice,105,10,155,7.569874663871838,TN,DAP
Maize,49,45,139,6.6502112937023234,Punjab,NPK
Rice,101,91,175,7.648403896541046,AP,Urea
Maize,112,61,194,6.561960534374655,Gujarat,Ammonium Sulphate
Soybean,29,143,38,5.888035818036933,TN,SSP
Wheat,11,94,106,8.292205794498372,AP,Urea
Jowar,81,135,109,6.293631011314856,Punjab,SSP
Groundnut,45,52,117,6.840185429786189,MP,Compost
Jowar,129,138,55,6.325026665587001,Gujarat,Vermicompost
Jowar,96,11,176,7.877493307728862,MP,Ammonium Sulphate
Jowar,79,48,74,6.698770193017044,Punjab,Vermicompost
Rice,53,65,187,6.353895397740437,WB,DAP
Maize,34,90,70,5.289126785811193,WB,SSP
Bajra,51,52,100,8.557708719353927,Gujarat,Ammonium Sulphate
Soybean,83,65,62,8.315851036620796,TN,Compost
Barley,71,101,124,6.157468302761748,AP,Vermicompost
Jowar,25,135,175,7.2985970283143144,UP,Ammonium Sulphate
Cotton,60,6,115,6.540565685172095,Haryana,Vermicompost
Rice,36,48,65,4.880916862043234,Gujarat,SSP
Groundnut,94,23,170,5.88014564326398,UP,SSP
Barley,10,54,160,8.266088546403516,AP,NPK
Bajra,40,24,189,7.987190248917117,Maharashtra,Urea
Cotton,132,61,45,4.5124564590716965,UP,MOP
Bajra,65,117,54,4.376606744893862,Haryana,SSP
Barley,68,54,94,8.267583708084189,Punjab,NPK
Jowar,58,99,94,8.496541025597539,AP,MOP
Cotton,65,109,193,5.4711657241992135,UP,SSP
Bajra,67,111,73,5.746432617700034,UP,SSP
Groundnut,11,97,195,5.679014033272668,Bihar,SSP
Maize,67,8,125,4.634841907671729,Bihar,SSP
Wheat,72,142,85,7.725053036457884,TN,NPK
Maize,5,67,30,5.8504300137532645,Bihar,SSP
Barley,14,61,158,8.181135750728606,WB,Urea
Rice,41,109,111,8.392596259271436,WB,SSP
Wheat,30,69,155,8.56396721299335,WB,Urea
Soybean,5,144,184,8.089710565317368,Bihar,Compost
Groundnut,32,66,92,7.944553645987963,UP,Compost
Soybean,20,134,109,6.24743969042096,WB,Compost
Cotton,123,130,77,4.134737354695047,AP,SSP
Wheat,93,33,120,4.560313079269098,MP,SSP
